[0.468, 12.333, 8.667, 0.792];[0.489, 14.333, 10.667, 0.754];[0, 1];
[0.473, 12.0, 9.333, 0.783];[0.486, 11.667, 6.667, 0.754];[1, 0];
[0.467, 14.333, 12.0, 0.794];[0.455, 14.0, 10.667, 0.699];[0, 1];
[0.436, 13.667, 10.0, 0.83];[0.487, 12.333, 9.333, 0.716];[0, 1];
[0.403, 13.667, 10.333, 0.743];[0.351, 11.0, 12.667, 0.75];[0, 1];
[0.464, 10.667, 14.333, 0.646];[0.438, 16.0, 12.667, 0.867];[1, 0];
[0.461, 14.0, 12.0, 0.795];[0.431, 13.333, 11.333, 0.759];[0, 1];
[0.44, 13.0, 9.333, 0.792];[0.478, 13.0, 11.333, 0.686];[1, 0];
[0.465, 12.667, 13.333, 0.698];[0.435, 12.0, 15.0, 0.714];[1, 0];
[0.454, 10.333, 9.667, 0.762];[0.444, 11.0, 10.333, 0.668];[1, 0];
[0.501, 11.667, 9.333, 0.635];[0.422, 14.0, 12.667, 0.854];[1, 0];
[0.451, 17.0, 9.667, 0.77];[0.481, 15.333, 10.333, 0.734];[0, 1];
[0.469, 13.0, 12.333, 0.891];[0.472, 18.333, 9.0, 0.791];[1, 0];
[0.398, 11.667, 16.333, 0.861];[0.389, 13.667, 16.0, 0.796];[1, 0];
[0.481, 14.0, 8.0, 0.804];[0.471, 12.333, 15.333, 0.85];[1, 0];
[0.443, 13.0, 6.0, 0.688];[0.457, 12.0, 12.0, 0.643];[1, 0];
[0.47, 16.0, 7.667, 0.808];[0.402, 12.667, 16.667, 0.761];[0, 1];
[0.458, 11.0, 8.333, 0.819];[0.495, 14.667, 10.333, 0.867];[1, 0];
[0.485, 14.0, 11.333, 0.792];[0.411, 14.333, 7.0, 0.683];[1, 0];
[0.421, 13.667, 11.333, 0.739];[0.476, 11.0, 11.667, 0.778];[1, 0];
[0.48, 12.667, 8.0, 0.727];[0.441, 11.333, 10.0, 0.794];[1, 0];
[0.445, 14.667, 14.0, 0.743];[0.429, 14.667, 16.0, 0.783];[1, 0];
[0.416, 14.0, 16.333, 0.724];[0.431, 11.667, 13.333, 0.782];[1, 0];
[0.458, 14.333, 10.0, 0.792];[0.411, 12.333, 12.0, 0.712];[1, 0];
[0.48, 15.667, 11.0, 0.805];[0.437, 13.0, 16.0, 0.692];[0, 1];
[0.429, 12.667, 13.0, 0.77];[0.467, 13.0, 12.0, 0.804];[1, 0];
[0.494, 11.0, 9.333, 0.7];[0.475, 12.667, 10.667, 0.747];[0, 1];
[0.472, 13.333, 12.333, 0.72];[0.488, 14.667, 9.333, 0.696];[0, 1];
[0.398, 14.0, 11.333, 0.729];[0.448, 12.0, 9.333, 0.851];[0, 1];
[0.503, 14.667, 11.0, 0.821];[0.464, 15.0, 10.0, 0.791];[0, 1];
[0.493, 18.333, 11.0, 0.658];[0.428, 15.0, 8.667, 0.753];[1, 0];
[0.508, 15.667, 9.0, 0.825];[0.423, 16.667, 11.0, 0.88];[1, 0];
[0.48, 12.0, 9.333, 0.742];[0.452, 13.0, 8.0, 0.684];[0, 1];
[0.416, 15.0, 12.333, 0.774];[0.431, 14.0, 10.333, 0.857];[1, 0];
[0.42, 14.333, 12.667, 0.766];[0.438, 11.667, 9.0, 0.803];[1, 0];
[0.443, 12.0, 11.0, 0.825];[0.423, 17.333, 11.0, 0.759];[0, 1];
[0.462, 15.333, 12.667, 0.668];[0.418, 11.0, 10.0, 0.658];[0, 1];
[0.471, 13.0, 8.333, 0.774];[0.478, 16.667, 11.333, 0.775];[1, 0];
[0.496, 15.0, 8.333, 0.729];[0.441, 14.0, 12.667, 0.741];[1, 0];
[0.458, 16.333, 12.0, 0.725];[0.548, 12.667, 7.333, 0.674];[1, 0];
[0.476, 13.667, 13.0, 0.597];[0.407, 12.333, 14.667, 0.808];[0, 1];
[0.466, 15.0, 12.333, 0.785];[0.46, 14.0, 10.0, 0.754];[0, 1];
[0.424, 15.0, 12.333, 0.765];[0.438, 16.667, 9.333, 0.808];[1, 0];
[0.375, 14.667, 14.0, 0.694];[0.529, 14.667, 11.667, 0.951];[0, 1];
[0.425, 15.333, 13.667, 0.834];[0.444, 15.333, 11.0, 0.678];[0, 1];
[0.406, 16.333, 9.0, 0.76];[0.434, 17.333, 14.667, 0.81];[0, 1];
