[[0.453, 13.333, 9.583, 0.746], [0.454, 12.562, 8.208, 0.758], [0, 1]]
[[0.437, 13.269, 9.423, 0.757], [0.447, 14.107, 10.179, 0.728], [1, 0]]
[[0.443, 13.822, 9.533, 0.755], [0.451, 13.733, 10.667, 0.78], [0, 1]]
[[0.454, 12.52, 8.22, 0.754], [0.445, 12.68, 9.32, 0.752], [0, 1]]
[[0.445, 13.956, 7.933, 0.774], [0.448, 13.067, 8.956, 0.704], [1, 0]]
[[0.447, 13.254, 8.237, 0.747], [0.446, 14.607, 10.75, 0.751], [0, 1]]
[[0.436, 15.263, 8.789, 0.736], [0.419, 13.35, 8.05, 0.736], [0, 1]]
[[0.448, 13.147, 9.868, 0.744], [0.447, 14.072, 8.217, 0.764], [0, 1]]
[[0.396, 12.375, 10.125, 0.659], [0.383, 11.875, 9.125, 0.598], [1, 0]]
[[0.465, 14.545, 9.855, 0.778], [0.446, 14.089, 11.554, 0.693], [0, 1]]
[[0.426, 15.4, 7.95, 0.764], [0.404, 12.412, 7.941, 0.688], [1, 0]]
[[0.229, 8.5, 4.5, 0.42], [0.26, 7.0, 7.0, 0.391], [1, 0]]
[[0.456, 13.419, 9.027, 0.743], [0.466, 13.907, 9.6, 0.773], [1, 0]]
[[0.461, 13.824, 8.206, 0.754], [0.464, 13.486, 9.324, 0.772], [1, 0]]
[[0.467, 14.093, 9.767, 0.769], [0.447, 12.767, 9.942, 0.774], [1, 0]]
[[0.345, 9.75, 7.75, 0.618], [0.296, 12.333, 8.667, 0.539], [1, 0]]
[[0.441, 13.647, 10.529, 0.742], [0.441, 13.258, 10.0, 0.727], [0, 1]]
[[0.451, 13.781, 10.547, 0.78], [0.46, 14.0, 9.661, 0.749], [0, 1]]
[[0.435, 13.045, 9.068, 0.746], [0.44, 13.9, 9.4, 0.758], [1, 0]]
[[0.455, 13.342, 9.082, 0.743], [0.446, 13.164, 9.863, 0.736], [1, 0]]
[[0.455, 13.933, 8.622, 0.739], [0.463, 14.438, 9.896, 0.778], [1, 0]]
[[0.312, 13.0, 6.25, 0.544], [0.394, 11.2, 6.4, 0.626], [0, 1]]
[[0.199, 8.5, 1.5, 0.397], [0.213, 4.0, 4.5, 0.459], [0, 1]]
[[0.442, 14.452, 8.839, 0.752], [0.433, 13.25, 9.25, 0.702], [0, 1]]
[[0.408, 13.2, 9.0, 0.747], [0.425, 13.077, 8.769, 0.728], [1, 0]]
[[0.45, 12.952, 9.81, 0.744], [0.465, 13.143, 9.048, 0.764], [0, 1]]
[[0.451, 13.018, 9.446, 0.745], [0.456, 14.879, 9.793, 0.771], [0, 1]]
[[0.445, 13.889, 9.444, 0.727], [0.437, 13.667, 9.944, 0.712], [1, 0]]
[[0.442, 15.435, 11.174, 0.702], [0.438, 16.087, 10.043, 0.7], [1, 0]]
[[0.462, 13.676, 9.382, 0.777], [0.442, 13.528, 10.722, 0.745], [1, 0]]
[[0.45, 12.927, 9.909, 0.767], [0.449, 13.86, 10.579, 0.776], [1, 0]]
[[0.462, 13.5, 9.083, 0.756], [0.461, 12.64, 9.02, 0.743], [1, 0]]
[[0.45, 15.192, 9.423, 0.777], [0.457, 14.96, 9.12, 0.749], [1, 0]]
[[0.445, 13.611, 9.833, 0.743], [0.44, 12.974, 9.184, 0.768], [1, 0]]
[[0.462, 13.917, 8.583, 0.775], [0.466, 14.467, 9.433, 0.766], [0, 1]]
[[0.449, 13.833, 8.067, 0.765], [0.444, 12.733, 9.783, 0.767], [0, 1]]
[[0.453, 13.091, 8.636, 0.75], [0.445, 12.553, 8.895, 0.757], [1, 0]]
[[0.44, 15.194, 11.548, 0.713], [0.42, 14.323, 11.645, 0.669], [0, 1]]
[[0.454, 13.37, 8.852, 0.74], [0.45, 12.889, 9.111, 0.735], [0, 1]]
[[0.463, 12.523, 8.977, 0.74], [0.449, 13.956, 10.333, 0.747], [1, 0]]
[[0.433, 12.457, 8.286, 0.729], [0.453, 14.029, 10.486, 0.776], [1, 0]]
[[0.463, 13.078, 9.494, 0.763], [0.454, 13.117, 8.87, 0.745], [1, 0]]
[[0.445, 13.071, 9.071, 0.707], [0.453, 13.714, 9.929, 0.748], [0, 1]]
[[0.449, 13.246, 9.986, 0.771], [0.451, 13.103, 9.824, 0.771], [0, 1]]
[[0.466, 13.111, 8.926, 0.763], [0.449, 14.488, 10.775, 0.744], [0, 1]]
[[0.449, 13.947, 8.158, 0.765], [0.444, 12.621, 9.759, 0.764], [1, 0]]
[[0.448, 12.779, 9.857, 0.771], [0.449, 14.013, 11.597, 0.701], [1, 0]]
[[0.473, 12.521, 9.616, 0.79], [0.461, 13.845, 9.845, 0.754], [1, 0]]
[[0.446, 13.773, 9.091, 0.752], [0.456, 13.37, 9.457, 0.746], [1, 0]]
[[0.444, 14.693, 9.6, 0.774], [0.472, 12.513, 9.632, 0.787], [1, 0]]
[[0.449, 13.154, 9.327, 0.743], [0.445, 13.333, 8.241, 0.742], [1, 0]]
[[0.449, 13.955, 8.625, 0.761], [0.45, 13.966, 11.375, 0.713], [0, 1]]
[[0.455, 13.506, 8.795, 0.745], [0.238, 8.5, 4.5, 0.4], [0, 1]]
[[0.46, 13.261, 9.174, 0.753], [0.439, 13.936, 11.809, 0.686], [0, 1]]
[[0.455, 13.917, 8.5, 0.736], [0.47, 14.714, 8.918, 0.76], [0, 1]]
[[0.446, 13.968, 10.516, 0.731], [0.442, 13.0, 9.185, 0.764], [0, 1]]
[[0.454, 12.788, 8.485, 0.747], [0.432, 12.516, 8.129, 0.729], [0, 1]]
[[0.445, 13.714, 9.643, 0.73], [0.437, 15.214, 11.536, 0.714], [0, 1]]
[[0.467, 12.679, 8.893, 0.748], [0.454, 13.722, 9.556, 0.751], [0, 1]]
[[0.443, 14.596, 9.789, 0.772], [0.446, 13.783, 11.517, 0.688], [0, 1]]
[[0.472, 14.548, 8.881, 0.758], [0.441, 12.93, 9.349, 0.747], [1, 0]]
[[0.465, 14.34, 9.736, 0.777], [0.448, 13.5, 9.038, 0.721], [1, 0]]
[[0.449, 13.229, 10.0, 0.771], [0.447, 14.522, 10.884, 0.751], [0, 1]]
[[0.454, 15.019, 10.019, 0.773], [0.45, 13.836, 10.727, 0.775], [1, 0]]
[[0.435, 14.946, 11.514, 0.729], [0.446, 13.744, 10.538, 0.749], [1, 0]]
[[0.415, 14.25, 8.688, 0.733], [0.426, 12.933, 9.2, 0.707], [0, 1]]
[[0.428, 12.571, 7.571, 0.665], [0.386, 14.667, 10.667, 0.608], [1, 0]]
[[0.462, 13.472, 8.83, 0.754], [0.463, 13.222, 9.37, 0.762], [0, 1]]
[[0.45, 13.114, 9.848, 0.764], [0.448, 14.449, 10.833, 0.746], [0, 1]]
[[0.44, 13.706, 9.059, 0.747], [0.439, 13.059, 8.941, 0.761], [0, 1]]
[[0.442, 15.067, 11.2, 0.744], [0.439, 12.51, 8.306, 0.759], [1, 0]]
[[0.461, 14.634, 9.61, 0.776], [0.451, 13.564, 9.974, 0.746], [1, 0]]
[[0.407, 12.667, 9.167, 0.656], [0.431, 13.909, 10.0, 0.705], [0, 1]]
[[0.445, 13.882, 9.588, 0.738], [0.437, 13.067, 10.867, 0.727], [1, 0]]
[[0.442, 13.875, 8.688, 0.741], [0.447, 12.867, 9.1, 0.756], [0, 1]]
[[0.44, 15.13, 7.957, 0.759], [0.444, 13.667, 10.476, 0.744], [1, 0]]
[[0.441, 12.19, 8.362, 0.761], [0.45, 12.862, 9.828, 0.768], [0, 1]]
[[0.454, 15.157, 10.039, 0.771], [0.467, 12.87, 9.574, 0.782], [1, 0]]
[[0.456, 13.554, 8.677, 0.75], [0.462, 14.076, 8.621, 0.774], [1, 0]]
[[0.446, 14.631, 9.523, 0.776], [0.445, 12.523, 8.538, 0.757], [0, 1]]
[[0.455, 12.623, 8.406, 0.75], [0.453, 13.739, 10.522, 0.783], [1, 0]]
