[[0.441, 12.204, 9.857, 0.729], [0.45, 12.787, 10.043, 0.782], [0, 1]]
[[0.448, 12.857, 9.631, 0.797], [0.447, 13.0, 10.405, 0.778], [0, 1]]
[[0.447, 12.085, 8.894, 0.742], [0.441, 13.413, 10.217, 0.73], [0, 1]]
[[0.441, 12.241, 9.741, 0.735], [0.441, 14.481, 10.692, 0.736], [0, 1]]
[[0.453, 13.061, 10.143, 0.743], [0.461, 13.1, 10.22, 0.774], [1, 0]]
[[0.457, 12.522, 10.478, 0.753], [0.448, 15.234, 11.553, 0.77], [1, 0]]
[[0.385, 11.667, 10.833, 0.636], [0.355, 12.833, 8.5, 0.538], [1, 0]]
[[0.439, 13.464, 10.071, 0.691], [0.434, 15.321, 11.357, 0.755], [1, 0]]
[[0.442, 12.524, 10.222, 0.724], [0.444, 12.54, 9.651, 0.744], [0, 1]]
[[0.439, 13.417, 9.5, 0.687], [0.436, 13.667, 11.125, 0.72], [0, 1]]
[[0.44, 10.864, 8.341, 0.744], [0.444, 14.022, 10.587, 0.743], [1, 0]]
[[0.451, 13.477, 9.585, 0.792], [0.45, 11.738, 9.185, 0.734], [1, 0]]
[[0.423, 12.458, 10.292, 0.738], [0.457, 12.375, 10.208, 0.769], [0, 1]]
[[0.442, 12.18, 9.84, 0.73], [0.452, 12.51, 10.959, 0.794], [1, 0]]
[[0.442, 12.848, 10.182, 0.715], [0.438, 12.914, 11.343, 0.735], [1, 0]]
[[0.442, 13.439, 10.316, 0.733], [0.466, 14.236, 10.055, 0.771], [0, 1]]
[[0.441, 10.889, 8.556, 0.742], [0.437, 14.721, 10.628, 0.735], [1, 0]]
[[0.216, 7.5, 5.0, 0.361], [0.435, 13.012, 9.639, 0.753], [1, 0]]
[[0.412, 10.667, 10.056, 0.713], [0.43, 12.944, 9.111, 0.752], [1, 0]]
[[0.448, 14.162, 10.081, 0.767], [0.445, 14.959, 10.716, 0.733], [1, 0]]
[[0.445, 12.472, 10.306, 0.739], [0.435, 13.314, 9.429, 0.753], [0, 1]]
[[0.446, 12.045, 9.023, 0.742], [0.447, 15.548, 11.381, 0.763], [1, 0]]
[[0.467, 14.35, 10.317, 0.759], [0.441, 15.35, 9.3, 0.75], [1, 0]]
[[0.401, 10.636, 7.364, 0.697], [0.433, 13.0, 9.909, 0.676], [1, 0]]
[[0.405, 11.2, 7.0, 0.714], [0.387, 10.9, 9.1, 0.686], [1, 0]]
[[0.308, 8.333, 3.667, 0.457], [0.283, 13.667, 6.0, 0.504], [0, 1]]
[[0.408, 11.44, 11.36, 0.728], [0.423, 12.917, 11.625, 0.713], [0, 1]]
[[0.46, 13.087, 10.239, 0.771], [0.447, 15.304, 11.391, 0.768], [1, 0]]
[[0.452, 14.431, 10.708, 0.751], [0.454, 12.425, 9.123, 0.749], [0, 1]]
[[0.444, 12.222, 8.5, 0.754], [0.437, 15.382, 10.235, 0.759], [1, 0]]
[[0.452, 13.603, 9.379, 0.788], [0.467, 14.179, 9.964, 0.771], [0, 1]]
[[0.234, 9.0, 5.0, 0.334], [0.459, 12.41, 9.06, 0.749], [0, 1]]
[[0.44, 10.707, 8.415, 0.747], [0.439, 13.308, 9.308, 0.753], [0, 1]]
[[0.382, 11.083, 9.917, 0.688], [0.407, 13.5, 9.917, 0.726], [1, 0]]
[[0.439, 11.867, 8.683, 0.768], [0.448, 12.65, 9.4, 0.755], [0, 1]]
[[0.45, 12.897, 9.949, 0.762], [0.447, 13.0, 10.263, 0.715], [0, 1]]
[[0.44, 13.0, 10.25, 0.695], [0.418, 13.615, 7.154, 0.662], [1, 0]]
[[0.438, 14.125, 9.406, 0.782], [0.425, 12.367, 10.3, 0.744], [0, 1]]
[[0.424, 12.48, 10.36, 0.734], [0.441, 13.36, 9.72, 0.68], [0, 1]]
[[0.447, 12.593, 10.407, 0.761], [0.446, 14.069, 10.828, 0.722], [0, 1]]
[[0.394, 12.857, 10.571, 0.646], [0.386, 14.571, 9.857, 0.691], [0, 1]]
[[0.437, 11.447, 7.816, 0.77], [0.436, 14.816, 10.632, 0.734], [0, 1]]
[[0.466, 14.36, 10.38, 0.747], [0.439, 11.667, 8.706, 0.768], [1, 0]]
[[0.447, 11.96, 8.86, 0.749], [0.422, 12.94, 9.16, 0.744], [0, 1]]
[[0.414, 12.0, 8.643, 0.722], [0.428, 14.286, 9.429, 0.757], [1, 0]]
[[0.449, 12.746, 9.825, 0.786], [0.447, 14.143, 10.619, 0.75], [1, 0]]
[[0.444, 13.587, 10.365, 0.739], [0.458, 15.111, 11.079, 0.78], [0, 1]]
[[0.447, 12.897, 9.853, 0.79], [0.444, 13.134, 10.373, 0.768], [1, 0]]
[[0.386, 10.875, 9.125, 0.65], [0.379, 12.5, 8.25, 0.663], [0, 1]]
[[0.43, 13.923, 10.308, 0.709], [0.413, 11.923, 10.385, 0.686], [1, 0]]
[[0.465, 14.184, 10.333, 0.771], [0.445, 15.034, 10.632, 0.737], [0, 1]]
[[0.444, 12.634, 9.746, 0.745], [0.458, 14.971, 10.943, 0.78], [1, 0]]
[[0.447, 12.776, 9.821, 0.787], [0.464, 12.727, 10.924, 0.756], [0, 1]]
[[0.456, 13.679, 9.914, 0.749], [0.445, 15.296, 9.42, 0.763], [1, 0]]
[[0.449, 12.738, 9.918, 0.787], [0.441, 14.567, 10.883, 0.731], [0, 1]]
[[0.454, 13.011, 9.851, 0.776], [0.435, 12.908, 9.552, 0.758], [0, 1]]
[[0.44, 15.444, 11.361, 0.75], [0.444, 13.079, 9.132, 0.751], [0, 1]]
[[0.458, 12.927, 10.268, 0.77], [0.443, 13.214, 10.071, 0.724], [1, 0]]
[[0.432, 13.136, 9.455, 0.744], [0.45, 12.621, 9.318, 0.751], [0, 1]]
[[0.405, 10.875, 9.0, 0.65], [0.407, 13.875, 9.5, 0.676], [0, 1]]
[[0.441, 12.868, 11.618, 0.771], [0.447, 14.439, 9.909, 0.765], [0, 1]]
[[0.404, 11.429, 10.048, 0.7], [0.431, 13.8, 7.9, 0.681], [1, 0]]
[[0.425, 12.474, 10.632, 0.711], [0.415, 10.381, 9.571, 0.734], [0, 1]]
[[0.438, 14.103, 9.414, 0.775], [0.427, 10.333, 8.733, 0.725], [1, 0]]
[[0.45, 12.684, 11.0, 0.789], [0.452, 13.975, 10.85, 0.736], [0, 1]]
[[0.444, 12.946, 10.161, 0.783], [0.444, 14.411, 10.839, 0.732], [0, 1]]
[[0.451, 12.553, 10.855, 0.797], [0.447, 11.671, 8.539, 0.767], [0, 1]]
[[0.445, 13.1, 9.9, 0.779], [0.44, 10.575, 8.325, 0.746], [0, 1]]
[[0.426, 12.353, 8.882, 0.721], [0.415, 12.529, 10.706, 0.709], [1, 0]]
[[0.438, 11.513, 7.744, 0.771], [0.456, 12.769, 10.333, 0.762], [0, 1]]
