[0.452, 18.667, 12.0, 0.598];[0.414, 15.667, 14.333, 0.754];[0, 1];
[0.449, 11.0, 8.0, 0.768];[0.447, 15.667, 8.333, 0.672];[0, 1];
[0.429, 16.667, 14.0, 0.756];[0.529, 18.333, 9.667, 0.687];[0, 1];
[0.469, 14.333, 13.333, 0.697];[0.519, 15.0, 5.0, 0.793];[0, 1];
[0.488, 14.333, 8.667, 0.691];[0.442, 15.333, 12.667, 0.781];[0, 1];
[0.474, 15.0, 10.333, 0.733];[0.479, 19.0, 11.667, 0.833];[1, 0];
[0.414, 10.333, 16.333, 0.827];[0.475, 16.667, 12.667, 0.801];[1, 0];
[0.419, 17.0, 14.0, 0.781];[0.451, 15.667, 12.667, 0.73];[0, 1];
[0.482, 15.667, 6.333, 0.811];[0.442, 16.0, 9.667, 0.758];[0, 1];
[0.526, 12.667, 9.333, 0.806];[0.501, 16.0, 12.667, 0.848];[1, 0];
[0.423, 14.0, 9.0, 0.805];[0.475, 14.667, 11.667, 0.695];[0, 1];
[0.447, 15.0, 11.333, 0.702];[0.462, 12.667, 10.0, 0.682];[0, 1];
[0.514, 13.0, 7.667, 0.851];[0.536, 12.667, 9.0, 0.82];[0, 1];
[0.414, 13.333, 15.0, 0.568];[0.442, 12.667, 8.333, 0.883];[1, 0];
[0.404, 12.0, 10.0, 0.717];[0.478, 15.667, 11.667, 0.83];[1, 0];
[0.434, 14.333, 17.0, 0.722];[0.508, 11.0, 9.333, 0.684];[0, 1];
[0.46, 11.333, 8.333, 0.799];[0.463, 18.0, 11.0, 0.839];[1, 0];
[0.496, 13.333, 8.333, 0.736];[0.443, 14.667, 10.333, 0.7];[0, 1];
[0.471, 15.0, 14.667, 0.776];[0.476, 11.0, 10.0, 0.683];[0, 1];
[0.431, 17.667, 13.667, 0.807];[0.404, 13.667, 9.0, 0.723];[1, 0];
[0.421, 13.667, 10.333, 0.831];[0.423, 15.667, 9.333, 0.805];[1, 0];
[0.515, 17.0, 10.667, 0.744];[0.418, 14.333, 13.0, 0.769];[0, 1];
[0.34, 11.667, 14.333, 0.733];[0.478, 11.333, 10.667, 0.736];[1, 0];
[0.472, 12.667, 12.0, 0.794];[0.425, 11.333, 14.667, 0.756];[0, 1];
