[0.431, 14.667, 11.333, 0.792];[0.409, 15.333, 10.667, 0.762];[1, 0];
[0.432, 10.667, 10.667, 0.834];[0.522, 10.0, 8.0, 0.808];[1, 0];
[0.447, 17.0, 16.0, 0.713];[0.498, 13.667, 12.667, 0.805];[0, 1];
[0.47, 14.333, 11.333, 0.684];[0.484, 15.667, 10.333, 0.717];[0, 1];
[0.43, 13.333, 13.0, 0.816];[0.408, 12.0, 14.667, 0.734];[1, 0];
[0.436, 11.667, 11.0, 0.775];[0.492, 20.0, 12.0, 0.828];[1, 0];
[0.429, 14.0, 12.0, 0.876];[0.454, 12.333, 8.333, 0.817];[1, 0];
[0.472, 9.0, 12.0, 0.83];[0.485, 13.0, 11.333, 0.844];[0, 1];
[0.508, 12.333, 11.333, 0.699];[0.408, 11.0, 12.333, 0.836];[1, 0];
[0.471, 13.333, 7.333, 0.8];[0.455, 13.333, 11.667, 0.756];[1, 0];
[0.464, 14.667, 10.0, 0.802];[0.419, 12.333, 10.667, 0.886];[1, 0];
[0.483, 16.333, 12.667, 0.766];[0.429, 14.0, 6.333, 0.751];[1, 0];
[0.476, 12.667, 11.333, 0.778];[0.443, 9.667, 11.667, 0.772];[1, 0];
[0.421, 14.333, 8.333, 0.701];[0.579, 16.333, 8.667, 0.812];[1, 0];
[0.498, 14.333, 14.0, 0.774];[0.472, 15.667, 9.667, 0.72];[0, 1];
[0.467, 10.333, 13.0, 0.725];[0.458, 12.667, 9.0, 0.705];[1, 0];
[0.46, 12.667, 12.667, 0.767];[0.498, 13.0, 8.333, 0.797];[1, 0];
[0.418, 10.667, 12.667, 0.65];[0.437, 11.0, 10.667, 0.831];[0, 1];
[0.433, 16.333, 13.667, 0.731];[0.413, 10.667, 12.333, 0.696];[1, 0];
[0.485, 14.667, 15.333, 0.826];[0.461, 14.667, 11.0, 0.697];[0, 1];
[0.422, 11.667, 10.667, 0.783];[0.408, 11.0, 8.667, 0.769];[1, 0];
[0.445, 16.333, 8.333, 0.812];[0.45, 16.667, 10.667, 0.808];[0, 1];
[0.485, 12.333, 8.333, 0.862];[0.452, 14.667, 11.0, 0.716];[1, 0];
[0.43, 16.333, 12.333, 0.78];[0.455, 14.333, 10.333, 0.922];[1, 0];
[0.494, 10.667, 11.0, 0.839];[0.418, 14.333, 10.333, 0.811];[1, 0];
[0.45, 18.667, 12.667, 0.639];[0.431, 16.667, 9.667, 0.841];[1, 0];
[0.499, 14.333, 12.333, 0.797];[0.451, 20.667, 13.333, 0.784];[1, 0];
[0.44, 14.333, 10.333, 0.669];[0.454, 17.667, 10.667, 0.665];[0, 1];
[0.479, 11.667, 13.0, 0.81];[0.398, 13.667, 12.333, 0.848];[1, 0];
[0.427, 12.333, 8.667, 0.801];[0.441, 15.667, 8.333, 0.819];[0, 1];
[0.489, 12.333, 8.667, 0.822];[0.464, 14.667, 10.667, 0.798];[1, 0];
[0.398, 15.0, 15.667, 0.766];[0.438, 15.667, 11.333, 0.725];[0, 1];
[0.487, 11.333, 9.333, 0.645];[0.475, 15.667, 8.667, 0.818];[1, 0];
[0.507, 12.667, 10.0, 0.86];[0.485, 12.667, 14.667, 0.752];[1, 0];
[0.452, 16.0, 12.667, 0.768];[0.424, 14.667, 11.333, 0.733];[0, 1];
[0.457, 13.0, 9.667, 0.778];[0.471, 16.0, 7.0, 0.899];[1, 0];
[0.463, 6.0, 13.0, 0.75];[0.392, 15.0, 10.0, 0.917];[0, 1];
[0.514, 13.0, 12.0, 0.727];[0.476, 12.0, 6.333, 0.639];[1, 0];
[0.434, 11.0, 13.667, 0.836];[0.46, 14.0, 14.0, 0.746];[0, 1];
