[0.409, 14.333, 15.0, 0.659];[0.434, 14.0, 12.667, 0.819];[0, 1];
[0.478, 13.0, 11.333, 0.735];[0.436, 15.333, 9.667, 0.867];[1, 0];
[0.519, 14.0, 9.0, 0.747];[0.404, 13.333, 9.667, 0.802];[0, 1];
[0.431, 11.667, 12.667, 0.79];[0.434, 14.667, 12.667, 0.744];[1, 0];
[0.461, 13.667, 12.333, 0.761];[0.442, 14.667, 13.667, 0.729];[0, 1];
[0.488, 9.333, 7.667, 0.825];[0.459, 12.0, 8.333, 0.772];[1, 0];
[0.445, 12.0, 11.0, 0.722];[0.441, 13.0, 11.667, 0.756];[1, 0];
[0.448, 13.333, 12.667, 0.813];[0.531, 17.0, 9.0, 0.529];[0, 1];
[0.406, 10.667, 12.333, 0.796];[0.454, 9.667, 11.333, 0.767];[1, 0];
[0.429, 15.0, 9.333, 0.754];[0.428, 15.333, 11.667, 0.741];[0, 1];
[0.471, 9.0, 15.0, 0.808];[0.473, 10.0, 12.0, 0.692];[0, 1];
[0.477, 12.667, 12.667, 0.764];[0.474, 13.333, 11.0, 0.758];[1, 0];
[0.413, 14.0, 14.333, 0.765];[0.466, 14.333, 11.0, 0.597];[1, 0];
[0.422, 11.667, 11.667, 0.835];[0.482, 12.667, 4.667, 0.723];[1, 0];
[0.436, 15.667, 12.667, 0.73];[0.488, 12.0, 9.333, 0.81];[0, 1];
[0.482, 15.333, 9.333, 0.804];[0.462, 13.0, 11.667, 0.746];[1, 0];
[0.434, 14.0, 11.333, 0.734];[0.476, 9.0, 14.667, 0.749];[1, 0];
[0.449, 11.667, 13.0, 0.738];[0.45, 13.0, 11.0, 0.866];[1, 0];
[0.452, 14.0, 10.667, 0.768];[0.461, 13.333, 11.0, 0.853];[1, 0];
[0.491, 13.667, 9.667, 0.677];[0.413, 14.0, 15.0, 0.759];[1, 0];
[0.456, 13.0, 8.667, 0.875];[0.484, 15.333, 12.0, 0.653];[0, 1];
[0.5, 12.667, 12.667, 0.698];[0.457, 10.667, 9.0, 0.801];[0, 1];
[0.385, 11.0, 15.333, 0.854];[0.557, 9.333, 8.0, 0.715];[1, 0];
[0.462, 10.333, 8.333, 0.81];[0.473, 18.333, 10.667, 0.755];[1, 0];
[0.454, 18.667, 13.667, 0.706];[0.448, 17.667, 15.0, 0.666];[0, 1];
[0.455, 11.0, 9.0, 0.799];[0.449, 9.333, 10.0, 0.822];[1, 0];
[0.506, 15.333, 11.667, 0.716];[0.447, 16.333, 8.0, 0.841];[1, 0];
[0.476, 15.333, 10.333, 0.833];[0.414, 10.667, 13.333, 0.74];[1, 0];
[0.462, 12.667, 14.667, 0.707];[0.475, 13.667, 10.0, 0.767];[1, 0];
[0.458, 11.333, 8.667, 0.763];[0.447, 16.333, 12.333, 0.715];[1, 0];
[0.414, 12.667, 12.0, 0.714];[0.467, 13.667, 8.333, 0.766];[0, 1];
[0.446, 11.333, 6.667, 0.796];[0.46, 15.667, 11.667, 0.821];[1, 0];
[0.378, 12.667, 16.0, 0.888];[0.392, 13.667, 10.333, 0.819];[1, 0];
[0.448, 11.0, 7.0, 0.721];[0.478, 15.667, 8.333, 0.763];[1, 0];
[0.416, 14.333, 13.0, 0.74];[0.494, 15.0, 11.0, 0.832];[1, 0];
[0.467, 15.333, 12.0, 0.71];[0.459, 13.333, 7.667, 0.729];[1, 0];
[0.463, 16.667, 12.0, 0.695];[0.433, 16.0, 10.333, 0.881];[1, 0];
[0.51, 12.667, 10.333, 0.72];[0.503, 14.0, 10.333, 0.71];[0, 1];
[0.383, 13.0, 7.333, 0.789];[0.46, 14.333, 7.0, 0.667];[0, 1];
[0.49, 11.667, 11.0, 0.773];[0.432, 18.0, 15.333, 0.807];[1, 0];
[0.474, 12.667, 11.0, 0.719];[0.476, 14.0, 10.333, 0.744];[0, 1];
[0.407, 15.667, 14.667, 0.913];[0.431, 11.667, 12.667, 0.813];[1, 0];
[0.466, 15.0, 9.0, 0.704];[0.452, 14.0, 12.0, 0.754];[1, 0];
[0.508, 15.333, 11.333, 0.72];[0.444, 15.0, 14.0, 0.666];[0, 1];
[0.474, 10.333, 7.667, 0.802];[0.465, 13.667, 10.333, 0.653];[1, 0];
[0.451, 10.333, 11.333, 0.79];[0.437, 11.333, 13.0, 0.642];[1, 0];
[0.425, 13.0, 11.333, 0.639];[0.497, 18.0, 7.667, 0.82];[1, 0];
[0.42, 14.333, 11.667, 0.636];[0.521, 13.667, 9.0, 0.742];[0, 1];
[0.488, 11.667, 11.0, 0.67];[0.476, 16.0, 8.333, 0.674];[0, 1];
[0.459, 7.333, 11.0, 0.728];[0.47, 12.0, 13.333, 0.74];[0, 1];
[0.45, 15.667, 11.667, 0.79];[0.452, 12.0, 13.333, 0.775];[0, 1];
[0.449, 13.333, 8.0, 0.799];[0.444, 8.667, 9.0, 0.739];[1, 0];
[0.433, 13.667, 14.333, 0.688];[0.5, 15.0, 7.333, 0.753];[1, 0];
[0.502, 15.667, 11.0, 0.845];[0.444, 17.667, 14.667, 0.876];[1, 0];
[0.441, 12.667, 14.667, 0.684];[0.461, 16.333, 13.667, 0.854];[1, 0];
[0.446, 16.333, 10.333, 0.82];[0.494, 15.333, 10.0, 0.699];[0, 1];
[0.443, 12.0, 12.0, 0.775];[0.446, 13.333, 14.667, 0.752];[1, 0];
[0.396, 14.667, 14.0, 0.763];[0.46, 15.667, 8.333, 0.811];[0, 1];
[0.494, 12.0, 12.333, 0.685];[0.469, 12.333, 11.333, 0.83];[1, 0];
[0.465, 15.0, 10.0, 0.786];[0.451, 12.0, 8.333, 0.742];[0, 1];
[0.498, 14.333, 10.333, 0.832];[0.493, 13.0, 12.0, 0.811];[1, 0];
[0.464, 15.667, 13.333, 0.637];[0.462, 17.0, 9.0, 0.83];[1, 0];
[0.481, 13.0, 9.667, 0.801];[0.445, 13.333, 9.333, 0.804];[1, 0];
[0.474, 12.0, 10.667, 0.586];[0.432, 11.667, 10.667, 0.791];[0, 1];
[0.483, 13.333, 10.0, 0.759];[0.466, 14.0, 9.667, 0.819];[0, 1];
[0.43, 12.667, 14.0, 0.824];[0.444, 13.667, 11.333, 0.723];[0, 1];
[0.441, 10.667, 12.0, 0.697];[0.483, 12.667, 8.0, 0.788];[1, 0];
[0.503, 11.333, 8.667, 0.801];[0.472, 13.333, 8.667, 0.822];[1, 0];
[0.45, 16.0, 10.0, 0.841];[0.429, 15.0, 15.333, 0.708];[0, 1];
[0.478, 14.667, 11.667, 0.759];[0.444, 11.0, 13.0, 0.715];[0, 1];
[0.464, 11.667, 8.667, 0.78];[0.427, 12.0, 10.0, 0.713];[1, 0];
[0.539, 12.333, 12.0, 0.77];[0.438, 13.333, 13.0, 0.826];[1, 0];
[0.485, 13.667, 11.0, 0.8];[0.51, 14.0, 10.333, 0.775];[0, 1];
[0.417, 19.667, 18.333, 0.748];[0.437, 18.333, 11.333, 0.619];[0, 1];
[0.49, 12.667, 11.667, 0.768];[0.464, 12.667, 9.667, 0.825];[0, 1];
[0.414, 13.333, 13.667, 0.787];[0.493, 18.333, 17.667, 0.816];[1, 0];
[0.447, 13.0, 14.667, 0.751];[0.504, 13.667, 12.333, 0.773];[0, 1];
[0.388, 12.0, 18.0, 0.841];[0.486, 19.0, 11.0, 0.76];[1, 0];
[0.478, 10.333, 10.333, 0.716];[0.478, 11.667, 10.333, 0.763];[0, 1];
[0.381, 12.667, 14.0, 0.738];[0.493, 16.333, 12.0, 0.798];[1, 0];
[0.484, 15.333, 12.667, 0.772];[0.479, 13.333, 11.333, 0.729];[1, 0];
[0.506, 14.333, 10.333, 0.82];[0.452, 16.333, 8.333, 0.875];[1, 0];
[0.489, 12.333, 10.0, 0.667];[0.429, 9.333, 11.333, 0.728];[1, 0];
[0.402, 11.667, 12.0, 0.71];[0.5, 15.667, 10.0, 0.734];[1, 0];
[0.473, 12.667, 6.667, 0.73];[0.458, 9.667, 8.667, 0.847];[1, 0];
[0.477, 12.0, 7.667, 0.746];[0.407, 12.0, 16.333, 0.818];[1, 0];
[0.434, 11.667, 9.667, 0.725];[0.476, 18.333, 10.667, 0.704];[0, 1];
[0.454, 15.0, 11.667, 0.765];[0.464, 13.0, 10.667, 0.715];[1, 0];
[0.482, 13.0, 12.0, 0.78];[0.436, 11.667, 12.0, 0.811];[0, 1];
[0.46, 15.0, 10.333, 0.869];[0.493, 15.0, 11.667, 0.82];[0, 1];
[0.449, 13.0, 13.667, 0.762];[0.47, 17.0, 11.667, 0.711];[0, 1];
[0.504, 11.0, 10.0, 0.793];[0.409, 12.667, 16.333, 0.812];[1, 0];
[0.485, 11.333, 9.667, 0.83];[0.436, 12.333, 9.0, 0.679];[0, 1];
[0.466, 17.0, 13.667, 0.805];[0.465, 12.0, 11.0, 0.765];[0, 1];
[0.478, 14.667, 7.333, 0.72];[0.405, 16.0, 15.0, 0.69];[1, 0];
[0.492, 12.667, 9.333, 0.804];[0.465, 12.333, 11.667, 0.773];[0, 1];
[0.472, 12.667, 13.333, 0.81];[0.461, 16.667, 10.0, 0.818];[0, 1];
[0.436, 10.667, 11.0, 0.743];[0.43, 11.0, 8.333, 0.768];[1, 0];
[0.498, 13.667, 12.0, 0.868];[0.509, 11.667, 12.667, 0.789];[0, 1];
[0.466, 13.333, 11.0, 0.789];[0.498, 12.333, 9.667, 0.818];[1, 0];
[0.476, 16.333, 16.667, 0.753];[0.482, 17.667, 11.0, 0.557];[1, 0];
[0.425, 15.0, 12.0, 0.72];[0.445, 16.0, 9.667, 0.726];[1, 0];
[0.443, 12.667, 10.0, 0.754];[0.377, 17.333, 16.667, 0.765];[1, 0];
[0.458, 10.667, 11.667, 0.719];[0.526, 12.667, 8.333, 0.765];[1, 0];
[0.428, 10.0, 7.0, 0.706];[0.433, 12.0, 9.667, 0.683];[1, 0];
[0.478, 11.333, 11.333, 0.776];[0.435, 10.667, 12.333, 0.841];[0, 1];
[0.459, 16.0, 11.0, 0.726];[0.435, 11.667, 10.0, 0.695];[1, 0];
[0.445, 9.333, 13.0, 0.835];[0.488, 16.0, 9.333, 0.858];[1, 0];
[0.486, 16.333, 12.667, 0.742];[0.445, 16.667, 15.333, 0.796];[0, 1];
[0.493, 17.0, 10.333, 0.736];[0.493, 19.0, 7.0, 0.822];[1, 0];
[0.44, 12.0, 9.333, 0.777];[0.511, 11.333, 7.667, 0.627];[0, 1];
[0.463, 17.667, 12.0, 0.808];[0.452, 16.667, 11.667, 0.842];[0, 1];
[0.451, 13.667, 13.333, 0.808];[0.436, 15.0, 13.0, 0.742];[0, 1];
[0.455, 14.0, 10.333, 0.742];[0.477, 14.333, 8.667, 0.711];[0, 1];
[0.475, 16.333, 11.667, 0.847];[0.447, 17.667, 13.667, 0.69];[0, 1];
[0.472, 12.0, 10.667, 0.72];[0.444, 20.667, 17.333, 0.775];[0, 1];
[0.483, 14.0, 8.333, 0.824];[0.491, 15.333, 13.667, 0.708];[0, 1];
[0.427, 11.667, 10.333, 0.831];[0.471, 17.0, 12.333, 0.731];[0, 1];
[0.524, 14.667, 10.333, 0.777];[0.48, 13.667, 10.667, 0.756];[0, 1];
[0.419, 12.333, 9.0, 0.692];[0.443, 12.333, 11.667, 0.814];[0, 1];
[0.485, 17.667, 10.0, 0.712];[0.467, 16.0, 10.333, 0.776];[1, 0];
[0.471, 14.333, 7.333, 0.779];[0.446, 12.667, 10.667, 0.847];[1, 0];
[0.43, 11.333, 10.667, 0.764];[0.447, 14.0, 13.333, 0.793];[1, 0];
[0.447, 17.333, 5.667, 0.696];[0.474, 15.333, 11.667, 0.648];[0, 1];
[0.423, 14.667, 10.333, 0.744];[0.447, 14.667, 10.333, 0.626];[0, 1];
[0.461, 10.0, 12.0, 0.834];[0.425, 11.333, 13.667, 0.683];[0, 1];
[0.481, 14.667, 8.333, 0.82];[0.445, 13.0, 11.0, 0.718];[0, 1];
[0.456, 10.667, 9.667, 0.734];[0.497, 13.333, 9.333, 0.799];[0, 1];
[0.444, 10.333, 7.333, 0.802];[0.463, 11.667, 14.0, 0.724];[1, 0];
[0.469, 11.667, 8.667, 0.791];[0.484, 17.667, 8.333, 0.817];[0, 1];
[0.457, 13.667, 9.667, 0.817];[0.443, 11.0, 15.0, 0.795];[1, 0];
[0.457, 13.0, 10.333, 0.799];[0.493, 15.333, 11.333, 0.729];[0, 1];
[0.441, 14.333, 13.333, 0.776];[0.472, 9.333, 7.667, 0.772];[0, 1];
[0.439, 16.333, 7.667, 0.822];[0.437, 13.333, 10.667, 0.829];[0, 1];
