[0.512, 15.667, 10.667, 0.649];[0.501, 16.333, 11.0, 0.741];[1, 0];
[0.508, 12.667, 6.667, 0.705];[0.495, 13.667, 9.0, 0.845];[0, 1];
[0.469, 15.333, 11.667, 0.742];[0.457, 15.667, 11.667, 0.716];[1, 0];
[0.472, 15.667, 13.667, 0.57];[0.455, 16.333, 10.0, 0.842];[0, 1];
[0.459, 13.333, 11.333, 0.747];[0.387, 8.333, 14.333, 0.835];[0, 1];
[0.485, 18.0, 7.0, 0.692];[0.381, 17.0, 11.0, 0.727];[0, 1];
[0.465, 15.667, 11.667, 0.674];[0.458, 14.0, 12.0, 0.778];[0, 1];
[0.414, 13.0, 10.333, 0.671];[0.464, 13.0, 8.0, 0.653];[0, 1];
[0.494, 14.0, 8.667, 0.708];[0.488, 14.667, 14.0, 0.691];[1, 0];
[0.451, 12.0, 10.667, 0.718];[0.462, 9.333, 7.667, 0.781];[0, 1];
[0.497, 15.667, 9.0, 0.67];[0.481, 13.333, 11.333, 0.689];[0, 1];
[0.489, 18.0, 10.667, 0.865];[0.43, 15.667, 9.333, 0.82];[0, 1];
[0.478, 17.667, 8.667, 0.855];[0.395, 16.0, 12.667, 0.796];[1, 0];
[0.483, 16.0, 12.333, 0.753];[0.484, 14.667, 9.0, 0.766];[1, 0];
[0.475, 10.333, 10.0, 0.874];[0.436, 12.667, 13.667, 0.811];[1, 0];
[0.488, 12.667, 8.333, 0.744];[0.506, 12.0, 11.333, 0.792];[0, 1];
[0.371, 12.667, 12.667, 0.699];[0.433, 10.667, 9.333, 0.793];[0, 1];
[0.411, 15.0, 9.667, 0.726];[0.452, 14.0, 12.333, 0.735];[1, 0];
[0.411, 15.0, 10.0, 0.772];[0.525, 15.0, 9.333, 0.769];[1, 0];
[0.478, 16.0, 13.667, 0.713];[0.475, 10.667, 11.0, 0.725];[1, 0];
[0.483, 12.667, 9.667, 0.723];[0.45, 14.0, 12.333, 0.74];[0, 1];
[0.486, 17.0, 14.0, 0.724];[0.471, 16.333, 11.667, 0.734];[0, 1];
[0.466, 13.0, 11.0, 0.811];[0.441, 13.667, 11.0, 0.8];[1, 0];
[0.427, 15.0, 13.667, 0.795];[0.542, 19.0, 11.0, 0.817];[0, 1];
[0.439, 15.333, 10.0, 0.738];[0.491, 11.0, 5.333, 0.661];[0, 1];
[0.47, 16.333, 11.333, 0.819];[0.498, 18.0, 11.0, 0.667];[1, 0];
[0.362, 16.667, 11.0, 0.785];[0.468, 14.667, 9.667, 0.813];[1, 0];
[0.473, 13.333, 7.0, 0.633];[0.464, 15.667, 6.333, 0.808];[1, 0];
[0.548, 11.333, 7.0, 0.646];[0.484, 11.0, 12.333, 0.879];[1, 0];
[0.451, 11.0, 10.333, 0.728];[0.481, 13.333, 11.0, 0.756];[0, 1];
[0.442, 16.0, 12.667, 0.773];[0.424, 15.0, 12.333, 0.822];[0, 1];
[0.477, 14.667, 8.0, 0.848];[0.483, 9.333, 10.0, 0.705];[0, 1];
[0.443, 12.0, 13.333, 0.879];[0.428, 14.0, 11.0, 0.71];[0, 1];
[0.411, 18.0, 9.0, 0.778];[0.413, 19.0, 13.667, 0.803];[0, 1];
[0.446, 11.333, 16.667, 0.832];[0.433, 12.0, 16.333, 0.769];[0, 1];
[0.434, 13.0, 11.0, 0.815];[0.527, 21.333, 10.0, 0.81];[1, 0];
[0.467, 14.667, 12.667, 0.783];[0.479, 13.333, 8.0, 0.766];[1, 0];
[0.437, 15.0, 11.0, 0.763];[0.468, 14.0, 9.333, 0.775];[0, 1];
[0.456, 12.667, 8.667, 0.771];[0.444, 16.0, 11.667, 0.727];[0, 1];
[0.48, 10.0, 8.0, 0.774];[0.453, 12.667, 12.333, 0.762];[0, 1];
[0.439, 13.0, 12.333, 0.742];[0.462, 17.667, 11.333, 0.771];[0, 1];
[0.416, 14.333, 9.667, 0.788];[0.431, 14.667, 11.333, 0.765];[1, 0];
[0.501, 14.667, 11.667, 0.815];[0.49, 13.0, 11.333, 0.735];[0, 1];
[0.454, 15.667, 7.333, 0.827];[0.44, 14.333, 11.667, 0.747];[1, 0];
[0.457, 15.0, 11.0, 0.818];[0.476, 12.667, 8.333, 0.723];[1, 0];
[0.429, 15.0, 9.0, 0.788];[0.365, 20.0, 22.0, 0.63];[0, 1];
