[[0.445, 14.66, 11.979, 0.746], [0.432, 13.761, 10.761, 0.738], [0, 1]]
[[0.447, 12.544, 11.43, 0.76], [0.446, 14.544, 10.468, 0.754], [1, 0]]
[[0.461, 12.301, 11.12, 0.763], [0.452, 11.855, 10.434, 0.775], [0, 1]]
[[0.461, 14.11, 11.28, 0.733], [0.436, 14.268, 12.049, 0.751], [0, 1]]
[[0.429, 13.5, 9.5, 0.681], [0.415, 15.118, 10.471, 0.717], [0, 1]]
[[0.436, 13.464, 10.786, 0.737], [0.457, 12.13, 11.056, 0.769], [1, 0]]
[[0.467, 13.339, 11.536, 0.755], [0.446, 14.704, 10.093, 0.751], [1, 0]]
[[0.438, 15.25, 10.5, 0.748], [0.438, 14.161, 10.75, 0.753], [1, 0]]
[[0.442, 11.773, 11.493, 0.764], [0.452, 13.297, 11.284, 0.752], [1, 0]]
[[0.445, 11.707, 9.733, 0.756], [0.439, 13.041, 11.149, 0.734], [1, 0]]
[[0.429, 13.926, 10.444, 0.709], [0.451, 13.346, 10.808, 0.653], [0, 1]]
[[0.437, 13.101, 11.316, 0.736], [0.447, 13.825, 11.338, 0.741], [1, 0]]
[[0.416, 15.0, 10.188, 0.719], [0.419, 16.188, 10.875, 0.65], [1, 0]]
[[0.442, 15.0, 10.667, 0.716], [0.41, 11.0, 11.429, 0.688], [1, 0]]
[[0.439, 13.737, 10.789, 0.728], [0.414, 13.97, 10.091, 0.761], [1, 0]]
[[0.42, 14.361, 12.528, 0.726], [0.438, 14.771, 11.429, 0.737], [0, 1]]
[[0.427, 14.964, 10.679, 0.747], [0.438, 13.385, 10.962, 0.741], [0, 1]]
[[0.457, 13.321, 10.643, 0.724], [0.46, 11.845, 9.75, 0.796], [1, 0]]
[[0.447, 13.508, 11.302, 0.747], [0.443, 13.581, 9.435, 0.768], [1, 0]]
[[0.414, 14.923, 9.231, 0.711], [0.426, 13.214, 10.357, 0.718], [1, 0]]
[[0.456, 14.851, 10.743, 0.761], [0.448, 13.96, 11.36, 0.738], [1, 0]]
[[0.448, 14.0, 12.034, 0.71], [0.452, 13.397, 11.379, 0.695], [0, 1]]
[[0.44, 12.833, 11.967, 0.762], [0.458, 12.153, 10.983, 0.766], [1, 0]]
[[0.441, 13.817, 11.25, 0.732], [0.447, 13.458, 11.424, 0.742], [1, 0]]
[[0.429, 13.263, 9.684, 0.692], [0.442, 13.778, 9.778, 0.719], [1, 0]]
[[0.454, 14.28, 12.04, 0.724], [0.442, 13.32, 11.253, 0.722], [0, 1]]
