[[0.429, 13.75, 7.667, 0.691], [0.399, 12.455, 10.909, 0.715], [1, 0]]
[[0.442, 14.759, 10.448, 0.743], [0.43, 13.893, 10.75, 0.767], [1, 0]]
[[0.437, 14.0, 11.58, 0.775], [0.435, 12.62, 10.58, 0.765], [0, 1]]
[[0.45, 12.525, 11.102, 0.739], [0.446, 12.931, 10.414, 0.738], [1, 0]]
[[0.446, 12.714, 9.959, 0.755], [0.443, 13.837, 10.796, 0.779], [1, 0]]
[[0.25, 3.5, 3.5, 0.342], [0.24, 5.0, 4.0, 0.453], [0, 1]]
[[0.461, 14.052, 11.897, 0.753], [0.458, 14.362, 11.224, 0.769], [1, 0]]
[[0.43, 12.118, 10.412, 0.75], [0.416, 12.188, 10.562, 0.711], [1, 0]]
[[0.439, 14.149, 11.985, 0.791], [0.456, 14.25, 11.969, 0.743], [0, 1]]
[[0.456, 13.849, 10.808, 0.781], [0.447, 11.736, 9.722, 0.782], [1, 0]]
[[0.411, 13.667, 7.0, 0.699], [0.369, 13.222, 9.778, 0.667], [1, 0]]
[[0.453, 12.788, 11.115, 0.762], [0.446, 14.491, 10.679, 0.764], [1, 0]]
[[0.447, 12.78, 10.82, 0.742], [0.443, 14.26, 10.52, 0.727], [1, 0]]
[[0.436, 13.103, 10.513, 0.7], [0.454, 10.784, 8.811, 0.744], [1, 0]]
[[0.373, 11.286, 10.286, 0.661], [0.371, 12.0, 11.0, 0.657], [1, 0]]
[[0.453, 12.519, 10.143, 0.793], [0.456, 13.936, 10.795, 0.781], [0, 1]]
[[0.458, 12.446, 11.323, 0.767], [0.445, 12.591, 11.121, 0.806], [0, 1]]
[[0.423, 14.214, 11.0, 0.693], [0.419, 11.857, 10.429, 0.71], [1, 0]]
[[0.462, 14.413, 10.52, 0.776], [0.456, 14.447, 12.408, 0.778], [0, 1]]
[[0.447, 12.562, 10.042, 0.782], [0.451, 12.979, 10.128, 0.748], [1, 0]]
[[0.433, 12.321, 9.679, 0.779], [0.443, 10.778, 8.889, 0.725], [0, 1]]
[[0.426, 12.909, 10.955, 0.742], [0.43, 14.957, 10.783, 0.743], [0, 1]]
[[0.44, 13.068, 10.757, 0.774], [0.463, 14.577, 11.549, 0.752], [0, 1]]
