[0.435, 16.667, 11.0, 0.765];[0.454, 19.0, 14.333, 0.703];[1, 0];
[0.419, 15.333, 11.667, 0.738];[0.302, 18.0, 8.0, 0.73];[1, 0];
[0.497, 14.667, 9.667, 0.788];[0.444, 14.333, 11.667, 0.823];[1, 0];
[0.436, 15.667, 11.667, 0.762];[0.429, 13.0, 7.667, 0.81];[0, 1];
[0.44, 15.667, 9.667, 0.761];[0.46, 14.333, 11.333, 0.895];[1, 0];
[0.464, 10.0, 12.0, 0.891];[0.454, 12.0, 11.333, 0.78];[0, 1];
[0.426, 12.0, 12.0, 0.788];[0.518, 21.667, 8.333, 0.781];[1, 0];
[0.465, 18.0, 12.0, 1.0];[0.443, 16.0, 14.0, 0.789];[1, 0];
[0.455, 11.0, 14.333, 0.729];[0.517, 12.333, 8.333, 0.677];[0, 1];
[0.419, 15.0, 12.333, 0.738];[0.512, 15.0, 7.0, 0.706];[0, 1];
[0.416, 9.0, 15.0, 0.723];[0.444, 11.0, 9.333, 0.719];[0, 1];
[0.433, 12.667, 6.333, 0.791];[0.44, 15.667, 10.333, 0.764];[1, 0];
[0.451, 15.667, 13.0, 0.796];[0.42, 11.667, 11.667, 0.766];[0, 1];
[0.409, 21.0, 16.0, 0.905];[0.439, 21.0, 9.0, 0.857];[1, 0];
[0.461, 10.667, 11.0, 0.716];[0.461, 11.0, 9.667, 0.787];[1, 0];
[0.477, 12.0, 11.333, 0.795];[0.45, 13.667, 9.333, 0.858];[0, 1];
[0.432, 12.0, 10.333, 0.77];[0.417, 8.333, 10.333, 0.743];[0, 1];
[0.406, 13.667, 11.0, 0.826];[0.448, 12.667, 11.333, 0.885];[1, 0];
[0.513, 13.333, 8.0, 0.766];[0.434, 12.0, 10.0, 0.78];[0, 1];
[0.461, 13.667, 13.667, 0.812];[0.433, 14.667, 12.0, 0.652];[0, 1];
[0.455, 15.0, 12.667, 0.823];[0.469, 14.0, 9.667, 0.821];[1, 0];
[0.406, 11.0, 10.333, 0.82];[0.417, 13.333, 11.333, 0.805];[1, 0];
[0.458, 13.333, 8.667, 0.71];[0.489, 9.333, 10.0, 0.76];[0, 1];
[0.463, 13.333, 9.333, 0.808];[0.47, 11.333, 11.667, 0.83];[0, 1];
[0.427, 7.667, 10.667, 0.815];[0.491, 16.333, 9.667, 0.704];[1, 0];
[0.431, 19.0, 12.667, 0.808];[0.467, 15.0, 10.0, 0.609];[1, 0];
[0.461, 16.333, 10.333, 0.8];[0.455, 17.667, 12.333, 0.746];[0, 1];
[0.433, 13.0, 13.333, 0.811];[0.475, 11.0, 5.333, 0.841];[0, 1];
[0.421, 13.333, 12.0, 0.726];[0.448, 10.667, 11.667, 0.72];[1, 0];
[0.488, 15.333, 6.667, 0.644];[0.433, 18.667, 9.333, 0.654];[0, 1];
[0.47, 14.333, 9.667, 0.714];[0.414, 13.0, 9.333, 0.787];[0, 1];
[0.436, 12.667, 10.667, 0.725];[0.51, 12.667, 9.667, 0.753];[1, 0];
[0.508, 18.333, 9.333, 0.679];[0.426, 13.667, 9.333, 0.841];[0, 1];
[0.396, 11.0, 5.0, 0.611];[0.366, 16.0, 12.0, 0.75];[0, 1];
[0.467, 12.0, 7.0, 0.779];[0.475, 11.0, 10.667, 0.79];[1, 0];
[0.427, 12.0, 11.0, 0.82];[0.492, 14.0, 8.333, 0.759];[0, 1];
[0.456, 12.0, 14.0, 0.781];[0.485, 13.0, 13.333, 0.893];[1, 0];
[0.477, 13.0, 13.667, 0.847];[0.435, 14.333, 13.333, 0.726];[1, 0];
[0.457, 19.333, 9.333, 0.641];[0.461, 14.333, 8.667, 0.871];[1, 0];
[0.421, 13.0, 8.0, 0.821];[0.385, 13.0, 10.667, 0.82];[0, 1];
