[['Utah Jazz', 0.468, 17.0, 9.0, 0.792], ['Los Angeles Clippers', 0.506, 10.0, 5.0, 0.882], 0]
[['Milwaukee Bucks', 0.397, 17.0, 15.0, 0.591], ['Indiana Pacers', 0.446, 12.0, 9.0, 0.857], 1]
[['Houston Rockets', 0.419, 15.0, 13.0, 0.63], ['Miami Heat', 0.515, 16.0, 9.0, 0.778], 1]
[['Washington Wizards', 0.37, 18.0, 15.0, 0.789], ['New York Knicks', 0.488, 12.0, 10.0, 0.632], 1]
[['Oklahoma City Thunder', 0.395, 10.0, 12.0, 0.848], ['Toronto Raptors', 0.523, 19.0, 6.0, 0.56], 0]
[['Orlando Magic', 0.432, 11.0, 14.0, 0.571], ['Chicago Bulls', 0.467, 12.0, 10.0, 0.778], 0]
[['Charlotte Hornets', 0.463, 12.0, 6.0, 0.846], ['New Orleans Pelicans', 0.469, 12.0, 11.0, 1.0], 0]
[['Cleveland Cavaliers', 0.365, 14.0, 13.0, 0.786], ['Portland Trail Blazers', 0.493, 11.0, 9.0, 0.76], 0]
[['Phoenix Suns', 0.398, 12.0, 18.0, 0.732], ['Los Angeles Lakers', 0.451, 13.0, 13.0, 0.774], 1]
[['Miami Heat', 0.39, 8.0, 6.0, 0.806], ['Charlotte Hornets', 0.427, 12.0, 13.0, 0.724], 0]
[['Orlando Magic', 0.429, 20.0, 6.0, 0.652], ['Philadelphia 76ers', 0.443, 24.0, 14.0, 0.833], 1]
[['Toronto Raptors', 0.483, 7.0, 6.0, 0.826], ['Boston Celtics', 0.513, 27.0, 17.0, 0.944], 1]
[['Minnesota Timberwolves', 0.411, 11.0, 13.0, 0.773], ['Brooklyn Nets', 0.439, 18.0, 7.0, 0.647], 1]
[['New York Knicks', 0.368, 8.0, 19.0, 0.697], ['Detroit Pistons', 0.433, 9.0, 11.0, 0.8], 0]
[['Chicago Bulls', 0.371, 14.0, 18.0, 0.85], ['Milwaukee Bucks', 0.466, 16.0, 7.0, 0.733], 1]
[['Indiana Pacers', 0.374, 12.0, 7.0, 0.913], ['Washington Wizards', 0.389, 18.0, 14.0, 0.8], 0]
[['Atlanta Hawks', 0.413, 13.0, 10.0, 0.727], ['San Antonio Spurs', 0.449, 19.0, 11.0, 0.711], 0]
[['Memphis Grizzlies', 0.464, 18.0, 5.0, 0.905], ['Phoenix Suns', 0.5, 16.0, 8.0, 0.765], 1]
[['Cleveland Cavaliers', 0.417, 12.0, 7.0, 0.85], ['Utah Jazz', 0.506, 12.0, 13.0, 0.773], 0]
[['Denver Nuggets', 0.451, 14.0, 7.0, 0.839], ['Sacramento Kings', 0.553, 13.0, 9.0, 0.78], 0]
[['Los Angeles Clippers', 0.463, 14.0, 5.0, 0.778], ['Golden State Warriors', 0.581, 23.0, 4.0, 1.0], 0]
[['San Antonio Spurs', 0.344, 14.0, 12.0, 0.895], ['Houston Rockets', 0.472, 21.0, 8.0, 0.606], 0]
[['Dallas Mavericks', 0.367, 7.0, 8.0, 1.0], ['Portland Trail Blazers', 0.519, 17.0, 12.0, 0.842], 0]
[['Atlanta Hawks', 0.462, 19.0, 7.0, 0.769], ['Charlotte Hornets', 0.495, 19.0, 11.0, 0.741], 0]
[['Minnesota Timberwolves', 0.43, 12.0, 9.0, 0.76], ['Orlando Magic', 0.505, 21.0, 12.0, 0.789], 0]
[['Chicago Bulls', 0.473, 12.0, 17.0, 0.68], ['Philadelphia 76ers', 0.513, 17.0, 12.0, 0.765], 1]
[['Indiana Pacers', 0.455, 13.0, 14.0, 1.0], ['Boston Celtics', 0.459, 12.0, 9.0, 0.875], 0]
[['New York Knicks', 0.411, 14.0, 15.0, 0.81], ['Brooklyn Nets', 0.514, 16.0, 7.0, 0.769], 0]
[['Milwaukee Bucks', 0.468, 13.0, 9.0, 0.783], ['Detroit Pistons', 0.493, 18.0, 12.0, 0.542], 0]
