[[0.451, 14.312, 11.646, 0.682], [0.429, 14.341, 12.182, 0.708], [1, 0]]
[[0.463, 12.893, 9.589, 0.764], [0.444, 14.492, 11.712, 0.751], [1, 0]]
[[0.454, 15.318, 11.152, 0.74], [0.45, 14.348, 10.606, 0.745], [1, 0]]
[[0.444, 13.875, 11.857, 0.738], [0.448, 12.702, 10.053, 0.759], [1, 0]]
[[0.452, 14.291, 11.823, 0.688], [0.454, 12.861, 11.228, 0.757], [1, 0]]
[[0.42, 13.731, 11.154, 0.769], [0.439, 12.519, 8.926, 0.73], [1, 0]]
[[0.447, 14.296, 9.574, 0.742], [0.449, 14.304, 12.536, 0.715], [0, 1]]
[[0.442, 13.456, 12.191, 0.7], [0.438, 13.97, 10.881, 0.766], [0, 1]]
[[0.437, 13.778, 11.806, 0.758], [0.419, 14.939, 11.788, 0.745], [0, 1]]
[[0.448, 13.63, 11.301, 0.74], [0.457, 12.773, 11.227, 0.751], [0, 1]]
[[0.411, 13.25, 11.5, 0.67], [0.428, 13.533, 11.0, 0.682], [1, 0]]
[[0.446, 14.177, 9.613, 0.742], [0.448, 14.306, 9.774, 0.713], [1, 0]]
[[0.42, 13.521, 11.658, 0.767], [0.455, 15.319, 10.972, 0.746], [1, 0]]
[[0.452, 13.811, 10.378, 0.745], [0.431, 13.853, 11.088, 0.743], [0, 1]]
[[0.439, 12.95, 10.025, 0.741], [0.433, 13.658, 11.605, 0.76], [0, 1]]
[[0.447, 13.5, 10.25, 0.765], [0.443, 12.485, 9.061, 0.724], [0, 1]]
[[0.45, 13.917, 8.75, 0.748], [0.434, 13.231, 10.885, 0.737], [0, 1]]
[[0.448, 13.476, 8.714, 0.746], [0.423, 12.81, 9.476, 0.714], [1, 0]]
[[0.423, 14.619, 12.333, 0.71], [0.404, 13.263, 12.158, 0.684], [0, 1]]
[[0.453, 14.261, 11.543, 0.679], [0.444, 12.804, 11.63, 0.739], [1, 0]]
[[0.425, 14.3, 13.0, 0.721], [0.444, 13.389, 10.0, 0.732], [0, 1]]
[[0.454, 14.175, 11.27, 0.805], [0.431, 13.016, 12.095, 0.743], [1, 0]]
[[0.442, 13.25, 8.562, 0.741], [0.413, 13.4, 11.933, 0.645], [0, 1]]
[[0.436, 14.136, 10.727, 0.734], [0.451, 13.45, 10.45, 0.726], [0, 1]]
[[0.378, 13.714, 9.286, 0.66], [0.375, 11.0, 10.286, 0.657], [1, 0]]
[[0.456, 12.717, 9.935, 0.748], [0.428, 13.146, 12.688, 0.737], [1, 0]]
[[0.438, 14.516, 12.742, 0.675], [0.428, 13.621, 11.724, 0.732], [1, 0]]
[[0.451, 12.706, 11.426, 0.746], [0.443, 14.985, 11.538, 0.72], [0, 1]]
[[0.456, 11.771, 9.286, 0.749], [0.431, 13.528, 11.722, 0.752], [0, 1]]
[[0.446, 13.902, 12.02, 0.745], [0.429, 14.224, 11.939, 0.74], [1, 0]]
