[[0.431, 14.364, 10.394, 0.745], [0.438, 14.222, 8.639, 0.747], [1, 0]]
[[0.436, 12.229, 10.292, 0.74], [0.437, 14.837, 10.735, 0.726], [1, 0]]
[[0.445, 12.8, 10.72, 0.701], [0.443, 14.653, 9.773, 0.769], [0, 1]]
[[0.455, 14.288, 8.682, 0.733], [0.447, 13.373, 10.478, 0.748], [0, 1]]
[[0.439, 15.5, 10.679, 0.707], [0.434, 12.897, 9.845, 0.763], [0, 1]]
[[0.456, 13.902, 11.967, 0.776], [0.459, 15.203, 10.458, 0.732], [1, 0]]
[[0.44, 12.173, 9.63, 0.748], [0.44, 12.012, 10.049, 0.789], [1, 0]]
[[0.415, 12.905, 9.524, 0.739], [0.42, 14.524, 8.619, 0.747], [1, 0]]
[[0.392, 13.0, 9.778, 0.693], [0.412, 12.5, 9.0, 0.648], [1, 0]]
[[0.393, 13.3, 9.7, 0.677], [0.408, 14.0, 9.2, 0.651], [1, 0]]
[[0.436, 15.28, 8.64, 0.738], [0.43, 13.107, 9.464, 0.739], [0, 1]]
[[0.459, 14.816, 8.49, 0.737], [0.436, 15.49, 10.588, 0.701], [1, 0]]
[[0.433, 15.581, 10.395, 0.708], [0.431, 13.591, 10.727, 0.733], [1, 0]]
[[0.42, 13.419, 11.935, 0.667], [0.444, 14.594, 9.219, 0.789], [0, 1]]
[[0.446, 14.659, 9.707, 0.786], [0.446, 13.907, 10.651, 0.749], [0, 1]]
[[0.427, 12.375, 9.975, 0.73], [0.441, 13.814, 11.186, 0.752], [0, 1]]
[[0.402, 13.667, 10.417, 0.722], [0.39, 12.5, 8.333, 0.728], [0, 1]]
[[0.284, 9.0, 9.0, 0.494], [0.203, 5.0, 4.0, 0.367], [1, 0]]
[[0.438, 12.971, 9.265, 0.753], [0.443, 13.344, 9.594, 0.761], [1, 0]]
[[0.456, 14.312, 8.649, 0.739], [0.444, 15.494, 10.39, 0.734], [1, 0]]
[[0.443, 13.293, 10.569, 0.748], [0.456, 15.214, 10.536, 0.726], [0, 1]]
[[0.382, 13.25, 11.0, 0.629], [0.404, 14.444, 12.222, 0.685], [0, 1]]
[[0.432, 13.375, 10.5, 0.737], [0.445, 14.312, 11.375, 0.761], [0, 1]]
[[0.429, 14.31, 10.483, 0.719], [0.45, 14.7, 10.4, 0.73], [0, 1]]
[[0.436, 14.302, 10.558, 0.75], [0.432, 12.356, 10.489, 0.784], [0, 1]]
[[0.444, 15.056, 9.463, 0.776], [0.444, 14.353, 10.0, 0.741], [0, 1]]
[[0.442, 14.106, 9.745, 0.733], [0.427, 15.2, 11.48, 0.747], [1, 0]]
[[0.44, 14.7, 10.717, 0.73], [0.442, 13.525, 10.754, 0.731], [0, 1]]
[[0.454, 16.0, 9.865, 0.724], [0.453, 14.971, 10.471, 0.724], [0, 1]]
[[0.423, 12.577, 9.154, 0.724], [0.42, 15.533, 10.033, 0.711], [1, 0]]
[[0.418, 12.625, 9.719, 0.722], [0.439, 14.171, 10.029, 0.726], [1, 0]]
[[0.343, 10.167, 9.0, 0.605], [0.361, 12.5, 8.833, 0.658], [1, 0]]
[[0.433, 14.514, 10.257, 0.751], [0.449, 12.974, 9.132, 0.753], [0, 1]]
[[0.445, 15.102, 11.186, 0.71], [0.442, 13.678, 10.627, 0.729], [1, 0]]
[[0.431, 12.8, 11.84, 0.688], [0.457, 13.46, 10.16, 0.741], [1, 0]]
[[0.449, 15.097, 11.236, 0.713], [0.455, 13.792, 12.0, 0.781], [0, 1]]
[[0.441, 14.851, 9.701, 0.768], [0.444, 14.0, 9.552, 0.752], [1, 0]]
[[0.429, 14.864, 10.727, 0.708], [0.449, 14.636, 10.5, 0.73], [1, 0]]
