[[0.454, 12.449, 11.5, 0.739], [0.447, 13.962, 11.203, 0.762], [1, 0]]
[[0.448, 12.205, 11.455, 0.731], [0.451, 14.326, 11.465, 0.732], [1, 0]]
[[0.434, 11.6, 8.4, 0.723], [0.373, 17.0, 10.222, 0.591], [1, 0]]
[[0.452, 13.829, 9.25, 0.728], [0.454, 13.052, 11.156, 0.724], [0, 1]]
[[0.423, 12.111, 8.389, 0.724], [0.407, 16.278, 9.611, 0.661], [1, 0]]
[[0.442, 16.427, 10.951, 0.741], [0.42, 16.634, 11.0, 0.688], [1, 0]]
[[0.418, 17.1, 10.643, 0.686], [0.44, 13.5, 10.486, 0.735], [1, 0]]
[[0.234, 8.5, 7.0, 0.34], [0.446, 13.711, 10.663, 0.766], [0, 1]]
[[0.425, 11.185, 9.2, 0.748], [0.432, 11.809, 11.735, 0.753], [1, 0]]
[[0.449, 13.506, 11.153, 0.747], [0.441, 15.094, 11.471, 0.708], [0, 1]]
[[0.435, 13.154, 8.885, 0.691], [0.446, 13.696, 8.913, 0.735], [0, 1]]
[[0.448, 13.222, 10.778, 0.74], [0.435, 13.038, 10.712, 0.781], [1, 0]]
[[0.451, 13.714, 8.595, 0.719], [0.424, 13.69, 11.571, 0.723], [0, 1]]
[[0.424, 13.109, 10.261, 0.754], [0.449, 13.773, 8.75, 0.721], [0, 1]]
[[0.422, 11.069, 9.153, 0.755], [0.447, 13.649, 10.162, 0.725], [0, 1]]
[[0.417, 17.254, 10.714, 0.686], [0.437, 12.694, 10.742, 0.734], [0, 1]]
[[0.459, 13.074, 10.741, 0.735], [0.453, 13.691, 10.0, 0.73], [1, 0]]
[[0.442, 13.102, 9.796, 0.752], [0.457, 12.551, 9.204, 0.739], [0, 1]]
[[0.436, 13.429, 10.381, 0.708], [0.444, 12.944, 10.0, 0.724], [0, 1]]
[[0.41, 10.846, 9.462, 0.696], [0.403, 12.154, 11.154, 0.732], [0, 1]]
[[0.409, 16.35, 9.5, 0.675], [0.393, 13.25, 11.65, 0.681], [0, 1]]
[[0.447, 13.667, 8.867, 0.723], [0.434, 11.894, 11.447, 0.771], [1, 0]]
[[0.413, 17.276, 9.759, 0.678], [0.432, 13.125, 10.594, 0.769], [0, 1]]
[[0.347, 6.333, 7.333, 0.542], [0.318, 11.333, 7.667, 0.534], [1, 0]]
[[0.406, 14.923, 12.0, 0.656], [0.427, 13.333, 7.833, 0.721], [1, 0]]
