[0.442, 11.0, 10.333, 0.668];[0.468, 16.0, 14.0, 0.711];[1, 0];
[0.423, 11.667, 9.667, 0.756];[0.437, 15.0, 13.0, 0.695];[1, 0];
[0.445, 12.333, 13.667, 0.773];[0.427, 9.667, 13.667, 0.729];[1, 0];
[0.469, 16.667, 5.0, 0.74];[0.462, 9.0, 11.667, 0.829];[1, 0];
[0.48, 11.0, 12.0, 0.836];[0.505, 11.667, 9.667, 0.799];[1, 0];
[0.479, 7.667, 8.333, 0.87];[0.374, 13.667, 14.667, 0.69];[1, 0];
[0.409, 17.0, 7.333, 0.767];[0.498, 16.0, 9.667, 0.698];[0, 1];
[0.446, 15.667, 14.333, 0.832];[0.49, 11.667, 12.0, 0.815];[1, 0];
[0.447, 15.333, 13.0, 0.781];[0.417, 11.667, 16.0, 0.685];[0, 1];
[0.493, 13.333, 10.667, 0.878];[0.449, 15.333, 15.0, 0.736];[1, 0];
[0.45, 10.0, 7.667, 0.76];[0.442, 12.0, 10.0, 0.813];[1, 0];
[0.427, 12.333, 13.667, 0.835];[0.448, 10.0, 11.667, 0.799];[1, 0];
[0.479, 13.0, 12.0, 0.765];[0.434, 14.0, 12.333, 0.674];[1, 0];
[0.446, 13.0, 10.667, 0.81];[0.512, 14.0, 11.667, 0.852];[1, 0];
[0.468, 12.0, 10.0, 0.746];[0.516, 12.333, 10.333, 0.722];[1, 0];
[0.43, 16.667, 8.0, 0.751];[0.457, 19.0, 11.667, 0.65];[0, 1];
[0.5, 17.0, 10.333, 0.729];[0.471, 11.667, 8.333, 0.77];[0, 1];
[0.412, 13.667, 16.0, 0.732];[0.496, 14.333, 10.667, 0.751];[0, 1];
[0.457, 12.667, 10.0, 0.762];[0.442, 13.667, 15.0, 0.838];[0, 1];
[0.426, 12.667, 12.0, 0.735];[0.469, 19.333, 9.333, 0.82];[0, 1];
[0.498, 12.667, 10.333, 0.712];[0.452, 13.667, 17.0, 0.746];[0, 1];
[0.471, 14.667, 13.333, 0.789];[0.504, 15.333, 11.667, 0.764];[1, 0];
[0.459, 12.0, 11.0, 0.638];[0.439, 17.333, 8.0, 0.779];[1, 0];
[0.454, 15.0, 13.333, 0.821];[0.452, 16.0, 11.667, 0.802];[1, 0];
[0.445, 16.333, 8.333, 0.798];[0.424, 10.667, 12.333, 0.736];[1, 0];
[0.477, 12.0, 12.667, 0.78];[0.463, 13.0, 10.667, 0.731];[1, 0];
[0.522, 14.667, 5.0, 0.72];[0.447, 10.667, 11.0, 0.854];[1, 0];
[0.484, 18.667, 13.0, 0.792];[0.5, 17.333, 10.333, 0.688];[1, 0];
[0.428, 12.667, 10.0, 0.835];[0.497, 13.0, 11.333, 0.739];[0, 1];
[0.439, 8.667, 15.0, 0.769];[0.451, 14.333, 9.0, 0.71];[0, 1];
