[[0.43, 12.209, 10.488, 0.732], [0.445, 13.732, 10.927, 0.725], [0, 1]]
[[0.462, 14.302, 11.604, 0.744], [0.424, 12.882, 10.765, 0.725], [0, 1]]
[[0.448, 15.961, 11.98, 0.762], [0.461, 13.096, 9.942, 0.769], [0, 1]]
[[0.433, 12.348, 8.783, 0.714], [0.433, 14.429, 10.952, 0.709], [0, 1]]
[[0.429, 12.122, 10.561, 0.736], [0.452, 13.816, 11.211, 0.692], [0, 1]]
[[0.428, 13.941, 9.912, 0.724], [0.46, 12.486, 9.946, 0.74], [0, 1]]
[[0.464, 14.241, 11.574, 0.741], [0.456, 12.509, 10.226, 0.752], [0, 1]]
[[0.464, 14.783, 11.652, 0.696], [0.447, 13.542, 11.458, 0.713], [0, 1]]
[[0.413, 11.273, 8.273, 0.71], [0.423, 12.636, 8.818, 0.653], [1, 0]]
[[0.412, 12.25, 10.833, 0.705], [0.431, 11.0, 10.333, 0.757], [0, 1]]
[[0.445, 12.089, 10.241, 0.749], [0.431, 13.278, 10.709, 0.727], [0, 1]]
[[0.471, 13.985, 11.235, 0.75], [0.464, 12.725, 10.812, 0.74], [0, 1]]
[[0.451, 13.244, 10.268, 0.768], [0.438, 12.634, 9.829, 0.743], [0, 1]]
[[0.446, 13.178, 9.778, 0.736], [0.457, 13.889, 11.244, 0.707], [1, 0]]
[[0.45, 13.241, 11.121, 0.765], [0.461, 15.179, 11.804, 0.754], [0, 1]]
[[0.436, 12.528, 9.194, 0.725], [0.463, 14.944, 11.528, 0.726], [0, 1]]
[[0.459, 13.938, 10.323, 0.786], [0.456, 12.803, 10.121, 0.737], [0, 1]]
[[0.458, 13.937, 10.317, 0.78], [0.451, 13.431, 11.338, 0.769], [1, 0]]
[[0.385, 11.667, 8.833, 0.596], [0.359, 14.8, 6.4, 0.645], [1, 0]]
[[0.449, 13.705, 10.318, 0.768], [0.455, 12.955, 10.636, 0.772], [0, 1]]
[[0.442, 13.38, 11.08, 0.719], [0.459, 15.34, 12.18, 0.751], [0, 1]]
[[0.464, 14.132, 11.132, 0.729], [0.433, 12.821, 9.821, 0.741], [1, 0]]
[[0.284, 12.667, 5.0, 0.521], [0.303, 11.333, 8.0, 0.609], [0, 1]]
