[['Houston Rockets', 0.451, 19.0, 8.0, 0.853], ['Utah Jazz', 0.5, 14.0, 15.0, 0.731], 1]
[['Memphis Grizzlies', 0.455, 21.0, 20.0, 0.778], ['Sacramento Kings', 0.484, 13.0, 10.0, 0.639], 0]
[['Minnesota Timberwolves', 0.42, 12.0, 14.0, 0.875], ['Los Angeles Clippers', 0.427, 18.0, 15.0, 0.781], 0]
[['Washington Wizards', 0.391, 13.0, 12.0, 0.78], ['Cleveland Cavaliers', 0.419, 7.0, 13.0, 0.704], 0]
[['Denver Nuggets', 0.396, 14.0, 13.0, 0.75], ['Indiana Pacers', 0.427, 18.0, 16.0, 0.805], 1]
[['Boston Celtics', 0.363, 16.0, 11.0, 0.682], ['Philadelphia 76ers', 0.569, 17.0, 7.0, 0.643], 1]
[['Orlando Magic', 0.367, 15.0, 10.0, 0.75], ['Detroit Pistons', 0.375, 9.0, 9.0, 0.816], 0]
[['Phoenix Suns', 0.4, 9.0, 12.0, 0.882], ['Miami Heat', 0.506, 14.0, 6.0, 0.63], 1]
[['Milwaukee Bucks', 0.392, 18.0, 14.0, 0.645], ['Chicago Bulls', 0.396, 11.0, 10.0, 0.5], 0]
[['Los Angeles Lakers', 0.432, 21.0, 13.0, 0.842], ['Oklahoma City Thunder', 0.521, 25.0, 7.0, 0.714], 1]
[['Utah Jazz', 0.395, 15.0, 15.0, 0.913], ['Dallas Mavericks', 0.415, 14.0, 8.0, 0.65], 0]
[['Atlanta Hawks', 0.424, 8.0, 10.0, 0.813], ['Portland Trail Blazers', 0.463, 11.0, 11.0, 0.818], 1]
[['Phoenix Suns', 0.455, 18.0, 16.0, 0.65], ['Orlando Magic', 0.523, 15.0, 14.0, 0.75], 0]
[['Detroit Pistons', 0.434, 6.0, 14.0, 0.766], ['Toronto Raptors', 0.446, 11.0, 11.0, 0.68], 0]
[['Miami Heat', 0.378, 12.0, 13.0, 0.786], ['Washington Wizards', 0.486, 17.0, 8.0, 0.789], 1]
[['Denver Nuggets', 0.38, 13.0, 17.0, 0.786], ['New Jersey Nets', 0.53, 14.0, 9.0, 0.774], 1]
[['Indiana Pacers', 0.395, 18.0, 13.0, 0.778], ['New York Knicks', 0.463, 21.0, 13.0, 0.714], 1]
[['Boston Celtics', 0.446, 9.0, 8.0, 0.684], ['Minnesota Timberwolves', 0.52, 17.0, 6.0, 0.833], 1]
[['Los Angeles Lakers', 0.419, 9.0, 17.0, 0.714], ['Houston Rockets', 0.453, 19.0, 17.0, 0.708], 1]
[['Dallas Mavericks', 0.459, 17.0, 12.0, 0.75], ['New Orleans Hornets', 0.5, 13.0, 14.0, 0.824], 0]
[['Atlanta Hawks', 0.417, 7.0, 19.0, 0.741], ['Sacramento Kings', 0.541, 16.0, 12.0, 0.789], 1]
[['Memphis Grizzlies', 0.488, 17.0, 13.0, 0.667], ['Golden State Warriors', 0.54, 13.0, 7.0, 0.706], 0]
[['Chicago Bulls', 0.407, 12.0, 9.0, 0.6], ['Cleveland Cavaliers', 0.409, 6.0, 6.0, 0.786], 1]
[['San Antonio Spurs', 0.432, 11.0, 16.0, 0.742], ['Utah Jazz', 0.53, 10.0, 14.0, 0.8], 0]
[['Atlanta Hawks', 0.398, 7.0, 7.0, 0.652], ['Charlotte Bobcats', 0.47, 15.0, 12.0, 0.778], 0]
[['Washington Wizards', 0.393, 19.0, 15.0, 0.577], ['Indiana Pacers', 0.4, 11.0, 14.0, 0.75], 0]
[['Detroit Pistons', 0.474, 11.0, 9.0, 0.857], ['Orlando Magic', 0.514, 11.0, 7.0, 0.622], 0]
[['New Jersey Nets', 0.47, 13.0, 12.0, 0.632], ['Philadelphia 76ers', 0.5, 15.0, 10.0, 0.68], 0]
[['Phoenix Suns', 0.5, 15.0, 7.0, 0.767], ['Boston Celtics', 0.517, 12.0, 12.0, 0.5], 1]
[['Denver Nuggets', 0.472, 19.0, 8.0, 0.75], ['Miami Heat', 0.493, 17.0, 14.0, 0.667], 0]
[['Milwaukee Bucks', 0.392, 21.0, 8.0, 0.588], ['Minnesota Timberwolves', 0.415, 19.0, 17.0, 0.667], 1]
[['Toronto Raptors', 0.48, 14.0, 8.0, 0.632], ['New Orleans Hornets', 0.506, 10.0, 9.0, 0.652], 1]
[['Cleveland Cavaliers', 0.444, 16.0, 4.0, 0.917], ['New York Knicks', 0.535, 21.0, 9.0, 0.654], 1]
[['Oklahoma City Thunder', 0.435, 13.0, 11.0, 0.706], ['Houston Rockets', 0.538, 17.0, 8.0, 0.789], 0]
