[['Boston Celtics', 0.409, 10.0, 9.0, 0.76], ['Cleveland Cavaliers', 0.458, 17.0, 9.0, 0.84], 0]
[['Houston Rockets', 0.485, 12.0, 10.0, 0.684], ['Golden State Warriors', 0.538, 17.0, 6.0, 0.905], 1]
[['Charlotte Hornets', 0.397, 17.0, 3.0, 0.793], ['Detroit Pistons', 0.427, 8.0, 9.0, 0.917], 0]
[['Brooklyn Nets', 0.479, 20.0, 11.0, 0.906], ['Indiana Pacers', 0.52, 14.0, 14.0, 0.781], 0]
[['Miami Heat', 0.436, 13.0, 11.0, 0.765], ['Orlando Magic', 0.478, 14.0, 11.0, 0.759], 0]
[['Philadelphia 76ers', 0.433, 9.0, 16.0, 0.789], ['Washington Wizards', 0.462, 17.0, 11.0, 0.737], 0]
[['Milwaukee Bucks', 0.429, 12.0, 11.0, 0.524], ['Boston Celtics', 0.5, 15.0, 6.0, 0.833], 1]
[['New Orleans Pelicans', 0.38, 17.0, 16.0, 0.828], ['Memphis Grizzlies', 0.424, 11.0, 15.0, 0.571], 0]
[['Atlanta Hawks', 0.442, 15.0, 9.0, 0.857], ['Dallas Mavericks', 0.511, 13.0, 14.0, 0.8], 1]
[['Denver Nuggets', 0.468, 20.0, 7.0, 0.917], ['Utah Jazz', 0.506, 15.0, 6.0, 0.938], 0]
[['Minnesota Timberwolves', 0.435, 13.0, 11.0, 0.739], ['San Antonio Spurs', 0.461, 11.0, 12.0, 0.895], 0]
[['Portland Trail Blazers', 0.315, 16.0, 10.0, 0.722], ['Phoenix Suns', 0.489, 16.0, 15.0, 0.786], 1]
[['Houston Rockets', 0.398, 14.0, 12.0, 0.931], ['Sacramento Kings', 0.477, 17.0, 9.0, 0.8], 1]
[['Chicago Bulls', 0.416, 19.0, 10.0, 0.889], ['Toronto Raptors', 0.47, 17.0, 13.0, 0.929], 0]
[['New York Knicks', 0.405, 25.0, 11.0, 0.684], ['Oklahoma City Thunder', 0.433, 18.0, 13.0, 0.727], 0]
[['Los Angeles Clippers', 0.393, 14.0, 17.0, 0.923], ['Los Angeles Lakers', 0.407, 19.0, 12.0, 0.609], 1]
[['Atlanta Hawks', 0.379, 13.0, 6.0, 0.857], ['Charlotte Hornets', 0.43, 21.0, 12.0, 0.8], 0]
[['Portland Trail Blazers', 0.449, 12.0, 6.0, 0.667], ['Indiana Pacers', 0.484, 9.0, 11.0, 0.765], 1]
[['Cleveland Cavaliers', 0.463, 14.0, 8.0, 0.833], ['Milwaukee Bucks', 0.543, 17.0, 9.0, 1.0], 1]
[['Boston Celtics', 0.38, 16.0, 14.0, 0.75], ['Philadelphia 76ers', 0.417, 19.0, 14.0, 0.688], 1]
[['Detroit Pistons', 0.494, 19.0, 10.0, 0.75], ['Washington Wizards', 0.533, 16.0, 7.0, 0.829], 0]
[['Orlando Magic', 0.5, 18.0, 15.0, 0.714], ['Brooklyn Nets', 0.506, 22.0, 9.0, 0.867], 0]
[['Utah Jazz', 0.444, 15.0, 10.0, 0.808], ['Minnesota Timberwolves', 0.481, 19.0, 7.0, 0.824], 0]
[['Sacramento Kings', 0.413, 12.0, 7.0, 0.714], ['Dallas Mavericks', 0.425, 14.0, 16.0, 0.692], 1]
[['Golden State Warriors', 0.459, 17.0, 16.0, 0.636], ['New Orleans Pelicans', 0.511, 18.0, 10.0, 0.8], 1]
