[[0.424, 14.143, 11.286, 0.707], [0.409, 14.368, 11.316, 0.737], [1, 0]]
[[0.454, 14.018, 11.632, 0.737], [0.463, 13.155, 11.741, 0.75], [0, 1]]
[[0.466, 15.0, 9.167, 0.72], [0.443, 13.316, 10.789, 0.743], [0, 1]]
[[0.417, 13.677, 11.0, 0.735], [0.426, 13.8, 11.467, 0.717], [0, 1]]
[[0.329, 10.4, 9.4, 0.532], [0.307, 14.5, 9.25, 0.496], [1, 0]]
[[0.459, 12.127, 11.468, 0.743], [0.456, 13.418, 11.658, 0.738], [0, 1]]
[[0.443, 14.132, 11.283, 0.72], [0.474, 15.981, 10.385, 0.763], [0, 1]]
[[0.419, 11.909, 10.273, 0.694], [0.433, 13.75, 11.333, 0.674], [0, 1]]
[[0.449, 13.538, 11.269, 0.742], [0.452, 14.875, 11.429, 0.741], [1, 0]]
[[0.449, 13.065, 9.948, 0.741], [0.463, 12.171, 10.0, 0.738], [0, 1]]
[[0.453, 12.244, 11.467, 0.737], [0.466, 12.133, 9.778, 0.724], [0, 1]]
[[0.415, 11.941, 10.882, 0.689], [0.425, 15.5, 9.286, 0.687], [1, 0]]
[[0.443, 12.796, 10.074, 0.767], [0.444, 14.189, 11.226, 0.76], [0, 1]]
[[0.416, 13.0, 7.0, 0.611], [0.378, 11.571, 11.286, 0.627], [1, 0]]
[[0.456, 14.2, 11.556, 0.732], [0.469, 16.136, 10.455, 0.761], [1, 0]]
[[0.442, 11.222, 10.167, 0.708], [0.446, 13.476, 10.476, 0.749], [0, 1]]
[[0.455, 14.339, 9.627, 0.725], [0.448, 13.656, 11.639, 0.741], [1, 0]]
[[0.45, 12.81, 9.762, 0.737], [0.465, 13.65, 10.125, 0.72], [0, 1]]
[[0.453, 12.778, 11.381, 0.759], [0.464, 12.823, 10.371, 0.745], [1, 0]]
[[0.398, 11.0, 9.0, 0.683], [0.383, 12.0, 10.5, 0.668], [1, 0]]
[[0.436, 12.357, 10.786, 0.736], [0.447, 13.185, 12.185, 0.724], [1, 0]]
[[0.461, 12.092, 10.425, 0.746], [0.469, 12.954, 11.609, 0.762], [1, 0]]
[[0.357, 10.25, 6.5, 0.601], [0.279, 9.333, 8.0, 0.464], [1, 0]]
[[0.464, 14.189, 11.432, 0.728], [0.457, 14.053, 10.737, 0.75], [1, 0]]
[[0.443, 13.333, 11.515, 0.734], [0.425, 13.742, 11.548, 0.719], [0, 1]]
[[0.448, 12.941, 10.309, 0.777], [0.459, 13.567, 10.687, 0.763], [0, 1]]
[[0.45, 14.282, 10.077, 0.705], [0.435, 14.0, 11.5, 0.724], [0, 1]]
[[0.443, 12.371, 10.484, 0.738], [0.474, 15.9, 10.483, 0.753], [1, 0]]
[[0.477, 15.8, 10.453, 0.76], [0.47, 13.714, 10.662, 0.742], [0, 1]]
[[0.458, 12.988, 11.247, 0.747], [0.467, 14.37, 12.21, 0.734], [1, 0]]
[[0.442, 14.255, 11.216, 0.717], [0.468, 12.36, 9.6, 0.73], [0, 1]]
[[0.416, 13.231, 10.923, 0.689], [0.414, 11.769, 10.462, 0.675], [0, 1]]
[[0.367, 12.333, 9.0, 0.659], [0.37, 13.2, 7.6, 0.635], [0, 1]]
[[0.45, 13.88, 9.52, 0.677], [0.456, 14.2, 11.6, 0.719], [1, 0]]
[[0.463, 13.962, 11.231, 0.703], [0.45, 15.357, 11.393, 0.725], [0, 1]]
[[0.444, 13.391, 10.826, 0.757], [0.46, 14.261, 10.391, 0.749], [0, 1]]
[[0.431, 13.229, 11.486, 0.75], [0.437, 14.909, 9.576, 0.745], [0, 1]]
[[0.46, 12.408, 9.789, 0.736], [0.44, 14.013, 10.493, 0.748], [1, 0]]
[[0.278, 11.333, 7.667, 0.52], [0.247, 8.0, 6.5, 0.326], [1, 0]]
[[0.439, 14.619, 9.238, 0.748], [0.468, 15.571, 9.524, 0.736], [1, 0]]
[[0.443, 14.413, 10.365, 0.745], [0.443, 12.338, 10.492, 0.739], [1, 0]]
[[0.445, 14.592, 10.697, 0.735], [0.439, 14.053, 10.566, 0.748], [1, 0]]
[[0.434, 13.806, 10.194, 0.766], [0.453, 13.625, 11.764, 0.734], [1, 0]]
[[0.43, 13.2, 9.933, 0.749], [0.435, 12.194, 10.548, 0.734], [0, 1]]
[[0.447, 12.5, 11.565, 0.762], [0.439, 14.244, 10.111, 0.75], [0, 1]]
[[0.436, 14.212, 11.394, 0.721], [0.445, 12.829, 11.943, 0.754], [1, 0]]
[[0.461, 12.4, 10.108, 0.75], [0.431, 13.565, 10.274, 0.76], [1, 0]]
[[0.381, 11.429, 9.143, 0.652], [0.328, 15.333, 9.0, 0.619], [0, 1]]
[[0.438, 13.857, 11.571, 0.734], [0.465, 13.045, 10.227, 0.717], [1, 0]]
[[0.43, 13.6, 10.217, 0.76], [0.439, 13.717, 11.65, 0.736], [1, 0]]
[[0.459, 12.13, 11.519, 0.738], [0.455, 13.377, 11.662, 0.738], [1, 0]]
[[0.42, 13.481, 11.444, 0.738], [0.469, 12.654, 10.231, 0.712], [0, 1]]
[[0.471, 13.694, 10.447, 0.746], [0.463, 13.929, 10.412, 0.763], [1, 0]]
[[0.431, 14.348, 11.304, 0.705], [0.432, 14.333, 11.125, 0.708], [0, 1]]
[[0.463, 12.8, 10.446, 0.749], [0.475, 15.712, 10.515, 0.753], [0, 1]]
