[['Cleveland Cavaliers', 0.435, 17.0, 18.0, 0.636], ['Los Angeles Clippers', 0.527, 25.0, 9.0, 0.875], 1]
[['Orlando Magic', 0.419, 11.0, 11.0, 0.765], ['Chicago Bulls', 0.476, 9.0, 9.0, 0.708], 0]
[['Toronto Raptors', 0.357, 17.0, 8.0, 0.84], ['Oklahoma City Thunder', 0.473, 17.0, 7.0, 0.853], 0]
[['Detroit Pistons', 0.446, 15.0, 21.0, 0.773], ['Denver Nuggets', 0.449, 13.0, 8.0, 0.84], 0]
[['Phoenix Suns', 0.437, 12.0, 15.0, 0.889], ['Charlotte Bobcats', 0.462, 12.0, 22.0, 0.679], 1]
[['Indiana Pacers', 0.412, 15.0, 11.0, 0.889], ['Atlanta Hawks', 0.437, 17.0, 17.0, 0.5], 0]
[['Washington Wizards', 0.411, 19.0, 10.0, 0.857], ['Boston Celtics', 0.42, 16.0, 6.0, 0.824], 0]
[['Brooklyn Nets', 0.375, 19.0, 13.0, 0.588], ['Miami Heat', 0.519, 12.0, 8.0, 0.813], 0]
[['Denver Nuggets', 0.369, 18.0, 16.0, 0.739], ['Houston Rockets', 0.451, 21.0, 16.0, 0.571], 1]
[['Memphis Grizzlies', 0.385, 10.0, 16.0, 0.667], ['Milwaukee Bucks', 0.53, 14.0, 11.0, 0.737], 1]
[['Orlando Magic', 0.35, 19.0, 12.0, 0.8], ['Minnesota Timberwolves', 0.447, 19.0, 13.0, 0.682], 0]
[['Philadelphia 76ers', 0.333, 20.0, 11.0, 0.75], ['New Orleans Hornets', 0.417, 15.0, 9.0, 0.6], 1]
[['Toronto Raptors', 0.444, 8.0, 10.0, 0.871], ['Dallas Mavericks', 0.464, 11.0, 16.0, 0.657], 0]
[['Los Angeles Lakers', 0.338, 18.0, 15.0, 0.696], ['Utah Jazz', 0.446, 12.0, 9.0, 0.889], 0]
[['Detroit Pistons', 0.488, 13.0, 14.0, 0.75], ['Sacramento Kings', 0.493, 17.0, 10.0, 0.742], 0]
[['Cleveland Cavaliers', 0.419, 16.0, 11.0, 0.619], ['Golden State Warriors', 0.538, 16.0, 7.0, 0.739], 0]
[['San Antonio Spurs', 0.411, 20.0, 6.0, 0.667], ['Los Angeles Clippers', 0.554, 15.0, 9.0, 0.889], 0]
[['Oklahoma City Thunder', 0.417, 20.0, 12.0, 0.889], ['Chicago Bulls', 0.493, 22.0, 8.0, 0.952], 1]
[['Los Angeles Clippers', 0.427, 13.0, 9.0, 0.633], ['Portland Trail Blazers', 0.532, 13.0, 10.0, 0.72], 1]
[['Brooklyn Nets', 0.429, 18.0, 7.0, 0.5], ['Orlando Magic', 0.5, 11.0, 15.0, 0.64], 1]
[['Milwaukee Bucks', 0.436, 20.0, 10.0, 0.864], ['Washington Wizards', 0.513, 21.0, 6.0, 0.789], 1]
[['Miami Heat', 0.42, 13.0, 7.0, 0.75], ['Atlanta Hawks', 0.487, 14.0, 8.0, 0.875], 1]
[['Philadelphia 76ers', 0.487, 14.0, 7.0, 0.71], ['Boston Celtics', 0.488, 16.0, 8.0, 0.826], 1]
[['Dallas Mavericks', 0.407, 20.0, 9.0, 0.87], ['New York Knicks', 0.417, 9.0, 11.0, 0.684], 0]
[['Houston Rockets', 0.372, 9.0, 18.0, 0.739], ['Memphis Grizzlies', 0.408, 20.0, 8.0, 0.933], 0]
[['Indiana Pacers', 0.44, 13.0, 11.0, 0.882], ['Minnesota Timberwolves', 0.5, 12.0, 5.0, 0.857], 0]
[['Charlotte Bobcats', 0.482, 12.0, 15.0, 0.667], ['New Orleans Hornets', 0.518, 9.0, 13.0, 0.619], 0]
[['Detroit Pistons', 0.414, 15.0, 16.0, 0.727], ['Oklahoma City Thunder', 0.535, 16.0, 8.0, 0.808], 0]
[['Cleveland Cavaliers', 0.469, 17.0, 12.0, 0.758], ['Phoenix Suns', 0.481, 20.0, 9.0, 0.815], 0]
[['San Antonio Spurs', 0.352, 11.0, 15.0, 0.731], ['Sacramento Kings', 0.486, 20.0, 7.0, 0.846], 1]
[['Utah Jazz', 0.368, 17.0, 14.0, 0.727], ['Denver Nuggets', 0.435, 11.0, 13.0, 0.72], 0]
[['Golden State Warriors', 0.337, 18.0, 13.0, 0.6], ['Los Angeles Lakers', 0.4, 16.0, 16.0, 0.75], 0]
[['Washington Wizards', 0.425, 12.0, 14.0, 0.583], ['Indiana Pacers', 0.443, 12.0, 5.0, 0.714], 0]
[['Philadelphia 76ers', 0.38, 12.0, 7.0, 0.688], ['Toronto Raptors', 0.466, 15.0, 9.0, 0.76], 1]
[['Dallas Mavericks', 0.405, 19.0, 8.0, 0.8], ['Charlotte Bobcats', 0.421, 17.0, 21.0, 0.643], 0]
